Date,Open,High,Low,BTC-USD,Adj Close,Volume
11/12/2022,17036.875,17066.67578,16651.77539,16799.18555,16799.18555,29717699419
11/13/2022,16799.72266,16920.76563,16320.63477,16353.36523,16353.36523,27209183682
11/14/2022,16352.02832,17109.32422,15872.94141,16618.19922,16618.19922,49630243054
11/15/2022,16617.48438,17051.96289,16542.55078,16884.61328,16884.61328,36599436183
11/16/2022,16884.3418,16960.29492,16430.11133,16669.43945,16669.43945,33925512989
11/17/2022,16670.42578,16726.43945,16460.68359,16687.51758,16687.51758,27868914022
11/18/2022,16687.91211,16947.05859,16564.61133,16697.77734,16697.77734,26862218609
11/19/2022,16696.2207,16797.87695,16570.41016,16711.54688,16711.54688,16106223492
11/20/2022,16712.91992,16746.7793,16248.69238,16291.83203,16291.83203,21313378652
11/21/2022,16291.22363,16291.22363,15599.04688,15787.28418,15787.28418,37429485518
11/22/2022,15782.30078,16253.04785,15656.60645,16189.76953,16189.76953,30726828760
11/23/2022,16195.58887,16638.19336,16170.50293,16610.70703,16610.70703,32958875628
11/24/2022,16611.63672,16771.47461,16501.76758,16604.46484,16604.46484,26129037414
11/25/2022,16602.26953,16603.31641,16388.4043,16521.8418,16521.8418,18678255976
11/26/2022,16521.57617,16666.86328,16416.22852,16464.28125,16464.28125,18000008764
11/27/2022,16463.88281,16594.40625,16437.02539,16444.62695,16444.62695,20443898509
11/28/2022,16440.22266,16482.93359,16054.53027,16217.32227,16217.32227,27743025156
11/29/2022,16217.63965,16522.25781,16139.39648,16444.98242,16444.98242,23581685468
11/30/2022,16445.47656,17190.9375,16445.47656,17168.56641,17168.56641,29523576583
12/1/2022,17168.00195,17197.49805,16888.38867,16967.13281,16967.13281,22895392882
12/2/2022,16968.68359,17088.66016,16877.88086,17088.66016,17088.66016,19539705127
12/3/2022,17090.09766,17116.04102,16888.14063,16908.23633,16908.23633,16217776704
12/4/2022,16908.16992,17157.76758,16903.43945,17130.48633,17130.48633,16824520830
12/5/2022,17128.89453,17378.15234,16922.43164,16974.82617,16974.82617,22209086834
12/6/2022,16975.23828,17091.86328,16939.92188,17089.50391,17089.50391,19889922369
12/7/2022,17089.50586,17109.37695,16750.55859,16848.12695,16848.12695,19675404389
12/8/2022,16847.34961,17267.91602,16788.7832,17233.47461,17233.47461,20496603770
12/9/2022,17232.14844,17280.54688,17100.83594,17133.15234,17133.15234,20328426366
12/10/2022,17134.2207,17216.82617,17120.68359,17128.72461,17128.72461,12706781969
12/11/2022,17129.71094,17245.63477,17091.82031,17104.19336,17104.19336,14122486832
12/12/2022,17102.5,17212.56445,16899.39453,17206.4375,17206.4375,19617581341
12/13/2022,17206.44141,17930.08594,17111.76367,17781.31836,17781.31836,26634741631
12/14/2022,17782.06641,18318.53125,17739.51367,17815.65039,17815.65039,25534481470
12/15/2022,17813.64453,17846.74414,17322.58984,17364.86523,17364.86523,20964448341
12/16/2022,17364.54688,17505.52539,16584.70117,16647.48438,16647.48438,24031608960
12/17/2022,16646.98242,16800.58984,16614.0293,16795.0918,16795.0918,14463581825
12/18/2022,16795.60938,16815.38672,16697.82031,16757.97656,16757.97656,10924354698
12/19/2022,16759.04102,16807.52734,16398.13672,16439.67969,16439.67969,17221074814
12/20/2022,16441.78711,17012.98438,16427.86719,16906.30469,16906.30469,22722096615
12/21/2022,16904.52734,16916.80078,16755.91211,16817.53516,16817.53516,14882945045
12/22/2022,16818.38086,16866.67383,16592.4082,16830.3418,16830.3418,16441573050
12/23/2022,16829.64453,16905.21875,16794.45898,16796.95313,16796.95313,15329265213
