benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",1,0,8,104.56648004700364,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",2,8,18,131.34745603006928,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",3,18,27,116.07433811304675,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",4,27,35,108.1297209680373,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",5,35,44,116.3665023046405,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",6,44,52,103.88189230183741,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",7,52,63,142.07092567246315,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,AIC,"[8, 18, 27, 35, 44, 52, 63, 71]",8,63,71,95.5882571171236,918.0255725542216,0.0009030420005728956,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",1,0,8,902.5872743005253,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",2,8,18,1035.8929369345951,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",3,18,26,899.8905190698523,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",4,26,35,1096.5947021306017,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",5,35,44,890.5948459482818,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",6,44,52,864.7830396739475,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",7,52,63,968.1867431324529,7173.509232218347,0.0011538329999893904,1,8,7
M3,DEMOGRAPHIC ,N2751,DYNP,QRMSE,"[8, 18, 26, 35, 44, 52, 63, 71]",8,63,71,514.9791710280916,7173.509232218347,0.0011538329999893904,1,8,7
