benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",1,0,8,78.50945955536704,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",2,8,16,77.07409023227063,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",3,16,25,77.38401866782722,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",4,25,34,80.73334092514115,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",5,34,44,83.66014203540917,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",6,44,52,79.69403620288035,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",7,52,63,97.3964732806398,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",8,63,71,69.2592647197058,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,AIC,"[8, 16, 25, 34, 44, 52, 63, 71, 79]",9,71,79,67.35460960664159,711.0654352258828,0.001085250001779059,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",1,0,9,174.7840522414754,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",2,9,17,152.65188053415383,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",3,17,25,104.60172146034718,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",4,25,34,123.01047681024723,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",5,34,43,97.96139671745627,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",6,43,52,186.481383182635,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",7,52,63,127.07380485199232,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",8,63,71,99.34160144546813,1154.098954864003,0.0013681250020454172,1,8,8
M3,FINANCE     ,N2852,DYNP,QRMSE,"[9, 17, 25, 34, 43, 52, 63, 71, 79]",9,71,79,88.19263762022759,1154.098954864003,0.0013681250020454172,1,8,8
