benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",1,0,10,119.87453276485569,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",2,10,23,165.10815722419153,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",3,23,32,101.53172679302874,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",4,32,47,203.6092635097586,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",5,47,58,133.35917370319473,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",6,58,70,151.19499055251134,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",7,70,107,499.91936801487464,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",8,107,118,131.63851645795586,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",9,118,130,146.1898731095932,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,AIC,"[10, 23, 32, 47, 58, 70, 107, 118, 130, 144]",10,130,144,187.67188907855808,1840.0974912085223,0.029129291000572266,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",1,0,8,368.4598056876571,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",2,8,79,2438.009320212959,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",3,79,87,758.2750925741168,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",4,87,95,650.0470122003964,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",5,95,103,420.5568096383198,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",6,103,111,809.4309664669685,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",7,111,119,665.4510433166748,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",8,119,127,432.6871272866346,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",9,127,135,927.2811674846238,8382.359193257184,0.03432066699679126,1,8,9
M3,INDUSTRY    ,N1907,DYNP,QRMSE,"[8, 79, 87, 95, 103, 111, 119, 127, 135, 144]",10,135,144,912.1608483888332,8382.359193257184,0.03432066699679126,1,8,9
