benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",1,0,10,133.64642047558607,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",2,10,18,97.16068901524693,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",3,18,26,99.36861949133248,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",4,26,34,87.17501055832565,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",5,34,43,111.36559369796328,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",6,43,53,128.78473091904863,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",7,53,61,92.71480750508736,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,AIC,"[10, 18, 26, 34, 43, 53, 61, 69]",8,61,69,97.05953956967338,847.2754112322637,0.0006085000022721943,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",1,0,10,1162.080598668857,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",2,10,18,568.1602157179583,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",3,18,26,652.231202172418,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",4,26,34,304.38658213911305,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",5,34,43,674.5604879118334,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",6,43,53,911.3097215258254,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",7,53,61,430.3228988703122,5267.631434111623,0.0007621669974469114,1,8,7
M3,MICRO       ,N1533,DYNP,QRMSE,"[10, 18, 26, 34, 43, 53, 61, 69]",8,61,69,564.5797271053057,5267.631434111623,0.0007621669974469114,1,8,7
