benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",1,0,49,307.3285495797279,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",2,49,183,1041.1298126589804,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",3,183,233,379.99844916874554,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",4,233,290,518.6349967924774,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",5,290,329,368.0347160707557,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",6,329,432,1009.1726995563952,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",7,432,556,1085.660800066851,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",8,556,641,774.5659645089256,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",9,641,680,332.7920279957765,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,AIC,"[49, 183, 233, 290, 329, 432, 556, 641, 680, 738]",10,680,738,517.514140608124,6334.832157006758,2.5081502920002094,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",1,0,8,14.878693227869366,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",2,8,16,19.265845551708164,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",3,16,24,5.870405941737529,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",4,24,37,30.710245969419894,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",5,37,46,4.408578540267028,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",6,46,54,9.433817831681631,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",7,54,160,122.45494843338669,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",8,160,451,962.1809721412475,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",9,451,672,509.5241046418645,1946.8461779812294,2.768228665998322,1,8,9
M4,Finance,Q22221,DYNP,QRMSE,"[8, 16, 24, 37, 46, 54, 160, 451, 672, 738]",10,672,738,268.1185657020471,1946.8461779812294,2.768228665998322,1,8,9
