benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",1,0,86,728.6167733536939,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",2,86,140,473.8931006648666,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",3,140,195,531.1961273029838,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",4,195,236,440.11759519990204,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",5,236,342,1131.760989723717,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",6,342,429,933.4505599345499,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",7,429,463,352.57106838177305,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",8,463,532,763.4425618965687,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",9,532,645,1303.2050546178862,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,AIC,"[86, 140, 195, 236, 342, 429, 463, 532, 645, 737]",10,645,737,1017.0731729257733,7675.327004001715,2.551437582998915,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",1,0,15,132.14263947665458,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",2,15,23,39.17675108154568,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",3,23,31,50.891558881438385,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",4,31,39,44.115147367424576,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",5,39,47,72.79796998773683,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",6,47,140,295.42688189968464,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",7,140,149,51.64789734728619,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",8,149,442,1150.7223481547435,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",9,442,645,1695.8681854032686,4295.043206063997,2.7202542919985717,1,8,9
M4,Industry,Q15697,DYNP,QRMSE,"[15, 23, 31, 39, 47, 140, 149, 442, 645, 737]",10,645,737,762.2538264642138,4295.043206063997,2.7202542919985717,1,8,9
