benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",1,0,8,120.36166696715466,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",2,8,16,116.93135904435842,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",3,16,26,123.99831009301623,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",4,26,41,183.2201450022893,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",5,41,49,101.5192042630362,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",6,49,63,193.85711719234814,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",7,63,71,110.1109846388715,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",8,71,81,127.071750208902,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",9,81,89,124.16998918675883,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,AIC,"[8, 16, 26, 41, 49, 63, 71, 81, 89, 106]",10,89,106,213.9837806586778,1415.224307255413,0.007404541000141762,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",1,0,8,2422.2801126351465,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",2,8,17,1902.5860412723903,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",3,17,26,725.3484118122296,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",4,26,41,773.5709437785574,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",5,41,49,746.0634512336246,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",6,49,64,1811.784657444503,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",7,64,73,1307.7198738714833,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",8,73,82,1502.3412179612333,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",9,82,98,1441.9584870268454,13380.167375083165,0.008893333000742132,1,8,9
M4,Micro,Q9516,DYNP,QRMSE,"[8, 17, 26, 41, 49, 64, 73, 82, 98, 106]",10,98,106,746.5141780471531,13380.167375083165,0.008893333000742132,1,8,9
