benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",1,0,15,49.54562806610449,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",2,15,24,-10.238350442628107,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",3,24,33,13.760695404051456,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",4,33,48,48.60747241444587,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",5,48,56,19.834864664737744,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",6,56,67,59.02441799590552,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",7,67,75,34.94501675875857,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",8,75,94,124.34847570066316,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",9,94,103,53.999690260815434,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,AIC,"[15, 24, 33, 48, 56, 67, 75, 94, 103, 122]",10,103,122,118.48159841735827,512.3095092402125,0.0171850419974362,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",1,0,12,4.390478212538068,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",2,12,23,3.0545712642526275,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",3,23,32,2.613356008981504,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",4,32,48,8.870763280358124,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",5,48,57,10.024784102224194,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",6,57,67,15.657919042065027,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",7,67,75,11.63390794463832,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",8,75,94,49.559545935744886,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",9,94,103,27.85651064286413,176.13121820358666,0.017372041002090555,1,8,9
M4,Other,Q23487,DYNP,QRMSE,"[12, 23, 32, 48, 57, 67, 75, 94, 103, 122]",10,103,122,42.46938176991978,176.13121820358666,0.017372041002090555,1,8,9
