benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",1,0,43,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",2,43,100,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",3,100,156,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",4,156,167,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",5,167,209,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",6,209,272,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",7,272,281,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",8,281,293,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",9,293,310,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,AIC,"[43, 100, 156, 167, 209, 272, 281, 293, 310, 367]",10,310,367,0.4392224580005859,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",1,0,19,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",2,19,35,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",3,35,43,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",4,43,58,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",5,58,66,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",6,66,76,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",7,76,91,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",8,91,100,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",9,100,112,0.43231537499741535,1,8,9
M6,Finance,BTCUSD,DYNP,QRMSE,"[19, 35, 43, 58, 66, 76, 91, 100, 112, 367]",10,112,367,0.43231537499741535,1,8,9
