benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",1,0,16,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",2,16,38,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",3,38,59,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",4,59,98,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",5,98,125,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",6,125,147,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",7,147,169,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",8,169,189,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",9,189,243,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,AIC,"[16, 38, 59, 98, 125, 147, 169, 189, 243, 263]",10,243,263,0.16262833300061175,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",1,0,8,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",2,8,169,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",3,169,177,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",4,177,185,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",5,185,193,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",6,193,203,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",7,203,211,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",8,211,219,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",9,219,227,0.19705237499874784,1,8,9
M6,Finance,EURCHF,DYNP,QRMSE,"[8, 169, 177, 185, 193, 203, 211, 219, 227, 263]",10,227,263,0.19705237499874784,1,8,9
