benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",1,0,16,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",2,16,47,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",3,47,105,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",4,105,136,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",5,136,150,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",6,150,170,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",7,170,203,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",8,203,217,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",9,217,244,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,AIC,"[16, 47, 105, 136, 150, 170, 203, 217, 244, 263]",10,244,263,0.16582804200152168,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",1,0,19,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",2,19,28,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",3,28,42,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",4,42,50,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",5,50,105,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",6,105,113,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",7,113,136,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",8,136,245,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",9,245,254,0.19717579099960858,1,8,9
M6,Finance,EURUSD,DYNP,QRMSE,"[19, 28, 42, 50, 105, 113, 136, 245, 254, 263]",10,254,263,0.19717579099960858,1,8,9
