benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",1,0,43,-89.77616435242386,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",2,43,123,-183.63959541391174,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",3,123,131,-39.603969433221664,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",4,131,153,-90.22423460590844,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",5,153,163,-36.6058372885819,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",6,163,198,-94.23336025173242,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",7,198,222,-81.17548843308627,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",8,222,233,-37.15888736970767,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",9,233,245,-32.954495709538705,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,AIC,"[43, 123, 131, 153, 163, 198, 222, 233, 245, 253]",10,245,253,-33.474584311523934,-718.8466171696366,0.17197679200035054,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",1,0,43,0.8606042787204359,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",2,43,123,0.9256669144445567,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",3,123,131,0.1102077890042402,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",4,131,151,0.22151678987761544,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",5,151,198,0.7634110024231343,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",6,198,213,0.2337874241484806,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",7,213,222,0.19397086608407563,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",8,222,233,0.28044302373159447,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",9,233,245,0.3990997105772718,4.150361135625854,0.17281829100102186,1,8,9
M6,Finance,EWG,DYNP,QRMSE,"[43, 123, 131, 151, 198, 213, 222, 233, 245, 253]",10,245,253,0.16165333661444853,4.150361135625854,0.17281829100102186,1,8,9
