benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",1,0,10,-37.05481645159124,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",2,10,43,-47.903815050581684,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",3,43,123,-134.07886347813724,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",4,123,131,-27.197647532130876,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",5,131,163,-79.70279662253648,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",6,163,196,-60.00778120410233,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",7,196,212,-44.037682692658755,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",8,212,233,-55.306079619868754,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",9,233,245,-38.81533571244832,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,AIC,"[10, 43, 123, 131, 163, 196, 212, 233, 245, 253]",10,245,253,-30.170137319493527,-554.2749556835491,0.17318020799939404,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",1,0,10,0.22830004020782735,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",2,10,43,1.091666524517767,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",3,43,123,1.2617678105999754,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",4,123,131,0.23931069664579066,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",5,131,164,0.7460253878845964,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",6,164,172,0.22536827289125444,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",7,172,222,1.0358786464528131,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",8,222,233,0.3499726500784321,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",9,233,245,0.31262663530839263,5.689653612785673,0.1706187920026423,1,8,9
M6,Finance,EWQ,DYNP,QRMSE,"[10, 43, 123, 131, 164, 172, 222, 233, 245, 253]",10,245,253,0.19873694819882326,5.689653612785673,0.1706187920026423,1,8,9
