benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",1,0,16,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",2,16,52,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",3,52,82,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",4,82,105,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",5,105,113,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",6,113,159,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",7,159,194,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",8,194,218,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",9,218,253,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,AIC,"[16, 52, 82, 105, 113, 159, 194, 218, 253, 263]",10,253,263,0.16307091600174317,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",1,0,13,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",2,13,28,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",3,28,37,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",4,37,46,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",5,46,95,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",6,95,103,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",7,103,136,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",8,136,242,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",9,242,251,0.19957104200148024,1,8,9
M6,Finance,GBPUSD,DYNP,QRMSE,"[13, 28, 37, 46, 95, 103, 136, 242, 251, 263]",10,251,263,0.19957104200148024,1,8,9
