benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",1,0,91,-51.07368045585674,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",2,91,100,-14.25826724837318,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",3,100,115,-49.510995331161936,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",4,115,132,-39.13416606223027,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",5,132,173,-41.56265827750983,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",6,173,191,-62.57046390448804,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",7,191,213,-38.32272640162204,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",8,213,229,-26.738627621557978,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",9,229,255,-72.5308632745225,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,AIC,"[91, 100, 115, 132, 173, 191, 213, 229, 255, 265]",10,255,265,-15.902671723672295,-411.6051203009948,0.16544633300145506,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",1,0,92,2.3545756046699777,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",2,92,100,0.5175321629218868,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",3,100,108,0.18375268020715552,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",4,108,116,0.3097548723788622,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",5,116,221,2.766657579722053,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",6,221,230,0.4100212212421675,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",7,230,238,0.23977750721670432,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",8,238,246,0.41169025441469076,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",9,246,254,0.16382842587735352,8.00015093087193,0.19373416699818335,1,8,9
M6,Finance,HST,DYNP,QRMSE,"[92, 100, 108, 116, 221, 230, 238, 246, 254, 265]",10,254,265,0.6425606222210793,8.00015093087193,0.19373416699818335,1,8,9
