benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",1,0,9,0.5458325904837844,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",2,9,59,41.16119814274763,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",3,59,72,2.1148511520221085,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",4,72,92,-0.04145653261779181,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",5,92,117,-0.6579264772196947,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",6,117,162,8.580219027319824,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",7,162,189,26.797587633306495,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",8,189,206,-0.3842272641721802,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",9,206,224,-8.032898901389448,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,AIC,"[9, 59, 72, 92, 117, 162, 189, 206, 224, 253]",10,224,253,24.22505429387391,94.30823366435463,0.14558420899993507,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",1,0,8,1.3843814166099413,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",2,8,59,3.8429175640110413,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",3,59,67,1.2863783062201282,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",4,67,78,1.0424429190490496,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",5,78,88,1.3458083355894634,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",6,88,96,1.1605356437300625,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",7,96,107,0.8947928299405002,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",8,107,123,1.8216284152764983,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",9,123,131,0.7177856529994643,20.73546200457552,0.1962848330003908,1,8,9
M6,Finance,PYPL,DYNP,QRMSE,"[8, 59, 67, 78, 88, 96, 107, 123, 131, 253]",10,131,253,7.238790921149372,20.73546200457552,0.1962848330003908,1,8,9
