benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",1,0,42,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",2,42,63,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",3,63,73,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",4,73,83,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",5,83,93,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",6,93,109,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",7,109,163,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",8,163,188,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",9,188,228,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,AIC,"[42, 63, 73, 83, 93, 109, 163, 188, 228, 253]",10,228,253,0.17610604199944646,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",1,0,49,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",2,49,63,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",3,63,74,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",4,74,82,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",5,82,93,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",6,93,101,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",7,101,127,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",8,127,136,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",9,136,144,0.15458829199997126,1,8,9
M6,Finance,RBLX,DYNP,QRMSE,"[49, 63, 74, 82, 93, 101, 127, 136, 144, 253]",10,144,253,0.15458829199997126,1,8,9
