benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,n_bkps
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",1,0,44,-54.45291686256459,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",2,44,71,-60.26787096029088,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",3,71,100,-44.92910769665011,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",4,100,115,-46.184002671829056,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",5,115,129,-45.33258939683232,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",6,129,144,-38.88744552338205,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",7,144,164,-30.524916214818035,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",8,164,205,-100.87801161761051,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",9,205,226,-40.415981506160676,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,AIC,"[44, 71, 100, 115, 129, 144, 164, 205, 226, 253]",10,226,253,-25.912265347542526,-487.7851077976808,0.15651662500022212,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",1,0,167,2.9045582231413247,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",2,167,176,0.22074165977287655,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",3,176,185,0.280361536340416,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",4,185,194,0.3028504752526362,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",5,194,204,0.2753340181957864,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",6,204,214,0.3628543991099309,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",7,214,225,0.4042045929241967,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",8,225,233,0.3837448810934622,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",9,233,245,0.6123893259756479,6.104097261555187,0.20153779199972632,1,8,9
M6,Finance,SLV,DYNP,QRMSE,"[167, 176, 185, 194, 204, 214, 225, 233, 245, 253]",10,245,253,0.3570581497489095,6.104097261555187,0.20153779199972632,1,8,9
