benchmark,category,series_id,algo,cost_name,changepoints,seg_index,low,high,time_sec,jump,min_size,n_bkps
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",1,0,45,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",2,45,68,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",3,68,138,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",4,138,172,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",5,172,201,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",6,201,218,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",7,218,226,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",8,226,242,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",9,242,254,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,AIC,"[45, 68, 138, 172, 201, 218, 226, 242, 254, 263]",10,254,263,0.19390862499858486,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",1,0,16,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",2,16,33,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",3,33,41,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",4,41,49,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",5,49,90,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",6,90,98,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",7,98,106,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",8,106,133,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",9,133,171,0.17633058299907134,1,8,9
M6,Finance,USDJPY,DYNP,QRMSE,"[16, 33, 41, 49, 90, 98, 106, 133, 171, 263]",10,171,263,0.17633058299907134,1,8,9
