benchmark,category,cost,avg.nsegm,max.nsegm,avg.t,max.t
M3,DEMOGRAPHIC ,QRMSE,9.6,10,0.0,0.0
M3,FINANCE     ,QRMSE,9.8,10,0.0,0.0
M3,INDUSTRY    ,QRMSE,10.0,10,0.0,0.0
M3,MACRO       ,QRMSE,10.0,10,0.0,0.0
M3,MICRO       ,QRMSE,8.8,10,0.0,0.0
M3,OTHER       ,QRMSE,8.4,10,0.0,0.0
M4,Demographic,QRMSE,10.0,10,0.6,2.7
M4,Finance,QRMSE,10.0,10,0.6,2.8
M4,Industry,QRMSE,10.0,10,0.6,2.7
M4,Macro,QRMSE,10.0,10,0.8,4.1
M4,Micro,QRMSE,10.0,10,0.6,2.8
M4,Other,QRMSE,10.0,10,0.5,2.5
M6,Finance,QRMSE,10.0,10,0.2,0.2
