benchmark,category,cost,series_id,npoints,nruns,nsegm,total_cost,time_sec
M3,DEMOGRAPHIC ,AIC,N2745,134,4534,10,1501.1341522299804,0.0225291249989822
M3,DEMOGRAPHIC ,QRMSE,N2745,134,4534,10,4942.170203980789,0.0496059159995638
M3,DEMOGRAPHIC ,AIC,N2677,135,4648,10,487.9422384617076,0.0230433750002703
M3,DEMOGRAPHIC ,QRMSE,N2677,135,4648,10,97.57063742546168,0.0260799169991514
M3,DEMOGRAPHIC ,AIC,N2671,135,4648,10,1395.367547695436,0.0213870420011517
M3,DEMOGRAPHIC ,QRMSE,N2671,135,4648,10,2816.0762460800356,0.0269202080016839
M3,DEMOGRAPHIC ,AIC,N2751,71,232,8,918.0255725542216,0.0009030420005728
M3,DEMOGRAPHIC ,QRMSE,N2751,71,232,8,7173.509232218347,0.0011538329999893
M3,DEMOGRAPHIC ,AIC,N2774,138,4996,10,602.8062906249545,0.0232859999996435
M3,DEMOGRAPHIC ,QRMSE,N2774,138,4996,10,147.30283741924447,0.0292597920015396
M3,FINANCE     ,AIC,N2852,79,268,9,711.0654352258828,0.001085250001779
M3,FINANCE     ,QRMSE,N2852,79,268,9,1154.098954864003,0.0013681250020454
M3,FINANCE     ,AIC,N2564,133,4421,10,703.7307397630955,0.0205745829989609
M3,FINANCE     ,QRMSE,N2564,133,4421,10,229.61847866837036,0.0257792080010403
M3,FINANCE     ,AIC,N2613,134,4534,10,1174.9687375294266,0.0223904589984158
M3,FINANCE     ,QRMSE,N2613,134,4534,10,1342.2348235428044,0.0251957500004209
M3,FINANCE     ,AIC,N2582,134,4534,10,776.7884058693447,0.0210919589990226
M3,FINANCE     ,QRMSE,N2582,134,4534,10,296.9009994303302,0.0263609579997137
M3,FINANCE     ,AIC,N2602,144,5719,10,2233.4543852075853,0.0588877080008387
M3,FINANCE     ,QRMSE,N2602,144,5719,10,34328.88921219032,0.0324511670005449
M3,INDUSTRY    ,AIC,N1901,140,5233,10,1537.8969259490725,0.0248058340002899
M3,INDUSTRY    ,QRMSE,N1901,140,5233,10,3617.70750670934,0.0296660419990075
M3,INDUSTRY    ,AIC,N2186,134,4534,10,1499.6257807262214,0.022379499998351
M3,INDUSTRY    ,QRMSE,N2186,134,4534,10,4324.353197798904,0.026447874999576
M3,INDUSTRY    ,AIC,N1950,133,4421,10,1570.0986124132955,0.0208044159990095
M3,INDUSTRY    ,QRMSE,N1950,133,4421,10,5399.298208906612,0.026338958999986
M3,INDUSTRY    ,AIC,N2072,144,5719,10,1516.2880216756091,0.0288314159988658
M3,INDUSTRY    ,QRMSE,N2072,144,5719,10,2804.5704666036395,0.0338422500026354
M3,INDUSTRY    ,AIC,N1907,144,5719,10,1840.0974912085223,0.0291292910005722
M3,INDUSTRY    ,QRMSE,N1907,144,5719,10,8382.359193257184,0.0343206669967912
M3,MACRO       ,AIC,N2501,120,3043,10,1176.5832899262166,0.0140407920007419
M3,MACRO       ,QRMSE,N2501,120,3043,10,2057.805391380554,0.0185894170026585
M3,MACRO       ,AIC,N2219,98,1096,10,612.2605332843436,0.0042066249989147
M3,MACRO       ,QRMSE,N2219,98,1096,10,359.37307865082516,0.0054592080014117
M3,MACRO       ,AIC,N2267,134,4534,10,1283.6495853575402,0.0548071659977722
M3,MACRO       ,QRMSE,N2267,134,4534,10,2025.2626140790192,0.0251367499986372
M3,MACRO       ,AIC,N2270,144,5719,10,1224.2471496429266,0.02756479099844
M3,MACRO       ,QRMSE,N2270,144,5719,10,1078.612680819865,0.0325480419996893
M3,MACRO       ,AIC,N2478,144,5719,10,1772.6469256745888,0.0274021250006626
M3,MACRO       ,QRMSE,N2478,144,5719,10,8266.291087894639,0.0335962909994123
M3,MICRO       ,AIC,N1871,126,3658,10,1504.040844248432,0.0181087919991114
M3,MICRO       ,QRMSE,N1871,126,3658,10,6192.137640433368,0.0199409169981663
M3,MICRO       ,AIC,N1435,69,138,8,915.655990047134,0.000599291997787
M3,MICRO       ,QRMSE,N1435,69,138,8,9294.73121331508,0.0007599580021633
M3,MICRO       ,AIC,N1533,69,138,8,847.2754112322637,0.0006085000022721
M3,MICRO       ,QRMSE,N1533,69,138,8,5267.631434111623,0.0007621669974469
M3,MICRO       ,AIC,N1474,69,138,8,977.6173286209664,0.0006413749979401
M3,MICRO       ,QRMSE,N1474,69,138,8,13797.274495980746,0.000758540998504
M3,MICRO       ,AIC,N1819,126,3658,10,1375.4809083596451,0.0167539169997326
M3,MICRO       ,QRMSE,N1819,126,3658,10,3692.7733124349,0.0199192500003846
M3,OTHER       ,AIC,N2824,71,232,8,450.4378584252618,0.0009127500015893
M3,OTHER       ,QRMSE,N2824,71,232,8,271.72625137995,0.0011668750012177
M3,OTHER       ,AIC,N2948,71,232,8,387.41182708830866,0.0009539999991829
M3,OTHER       ,QRMSE,N2948,71,232,8,174.859043637465,0.0011910000030184
M3,OTHER       ,AIC,N2888,71,232,8,459.96076712762977,0.0009107500009122
M3,OTHER       ,QRMSE,N2888,71,232,8,324.781787051685,0.0011666669997794
M3,OTHER       ,AIC,N2955,71,232,8,540.5344398143928,0.0009429160018044
M3,OTHER       ,QRMSE,N2955,71,232,8,582.4679841013065,0.0011834999968414
M3,OTHER       ,AIC,N2783,120,3043,10,1786.9845091484806,0.013895042000513
M3,OTHER       ,QRMSE,N2783,120,3043,10,25665.52666106842,0.0163223330018809
M4,Demographic,AIC,Q11846,126,3658,10,1189.4819693186455,0.0176283330001751
M4,Demographic,QRMSE,Q11846,126,3658,10,1816.1095944293031,0.0197171250001702
M4,Demographic,AIC,Q11974,111,2188,10,1300.2807906909331,0.0096200829975714
M4,Demographic,QRMSE,Q11974,111,2188,10,8339.347628310305,0.0114708330002031
M4,Demographic,AIC,Q12170,115,2558,10,931.7235009843638,0.0111545420004404
M4,Demographic,QRMSE,Q12170,115,2558,10,884.2285307628505,0.0135858749999897
M4,Demographic,AIC,Q12673,122,3244,10,1238.0323470664468,0.0147731249999196
M4,Demographic,QRMSE,Q12673,122,3244,10,3536.719852594842,0.0174757090026105
M4,Demographic,AIC,Q13050,735,253348,10,5440.702132951499,2.5640441670002474
M4,Demographic,QRMSE,Q13050,735,253348,10,1050.3253198137174,2.739010542001779
M4,Finance,AIC,Q18638,136,4763,10,1327.735143407832,0.023613875000592
M4,Finance,QRMSE,Q18638,136,4763,10,2793.737437235721,0.0265362500031187
M4,Finance,AIC,Q20501,116,2653,10,518.3483161700881,0.011758374999772
M4,Finance,QRMSE,Q20501,116,2653,10,280.83085833528287,0.0139550829990184
M4,Finance,AIC,Q19518,123,3346,10,1335.6099523796067,0.0173497079995286
M4,Finance,QRMSE,Q19518,123,3346,10,5844.938072289922,0.0178914999996777
M4,Finance,AIC,Q18530,117,2749,10,690.4782258132076,0.01180395800111
M4,Finance,QRMSE,Q18530,117,2749,10,300.1675461445772,0.0144676250019983
M4,Finance,AIC,Q22221,738,255496,10,6334.832157006758,2.5081502920002094
M4,Finance,QRMSE,Q22221,738,255496,10,1946.8461779812296,2.768228665998322
M4,Industry,AIC,Q15208,162,8104,10,1298.7497770285986,0.0414047079975716
M4,Industry,QRMSE,Q15208,162,8104,10,884.2576183519698,0.0487648340022133
M4,Industry,AIC,Q16120,122,3244,10,965.1275027228612,0.0145383329981996
M4,Industry,QRMSE,Q16120,122,3244,10,1072.3094726199636,0.0172904999999445
M4,Industry,AIC,Q16176,118,2846,10,1615.664336171856,0.0126292089989874
M4,Industry,QRMSE,Q16176,118,2846,10,12615.59138841107,0.0150981660008255
M4,Industry,AIC,Q14989,153,6871,10,1693.4395757609398,0.0334622080008557
M4,Industry,QRMSE,Q14989,153,6871,10,7375.6097673404975,0.0408634579980571
M4,Industry,AIC,Q15697,737,254779,10,7675.327004001715,2.551437582998915
M4,Industry,QRMSE,Q15697,737,254779,10,4295.043206063997,2.7202542919985717
M4,Macro,AIC,Q1988,164,8389,10,1922.4030860863152,0.0711258749979606
M4,Macro,QRMSE,Q1988,164,8389,10,5461.6269140993645,0.0508594999992055
M4,Macro,AIC,Q3770,126,3658,10,1642.5353372727172,0.0181320830015465
M4,Macro,QRMSE,Q3770,126,3658,10,12197.937751518824,0.0198456250000162
M4,Macro,AIC,Q4038,118,2846,10,517.3238002520525,0.0153500410015112
M4,Macro,QRMSE,Q4038,118,2846,10,153.31739437406804,0.0151577500000712
M4,Macro,AIC,Q3957,126,3658,10,275.77164276639803,0.0188995410026109
M4,Macro,QRMSE,Q3957,126,3658,10,48.74204617578604,0.020071499999176
M4,Macro,AIC,Q5109,866,355528,10,7621.778799336325,3.7344688330013014
M4,Macro,QRMSE,Q5109,866,355528,10,2713.2522973955483,4.142733125001541
M4,Micro,AIC,Q11298,109,2009,10,1334.0476184132497,0.0085184999988996
M4,Micro,QRMSE,Q11298,109,2009,10,8281.223767729241,0.0103693329983798
M4,Micro,AIC,Q9597,106,1748,10,1074.3909090620916,0.0073492090014042
M4,Micro,QRMSE,Q9597,106,1748,10,2561.760247788039,0.0089937500015366
M4,Micro,AIC,Q9516,106,1748,10,1415.224307255413,0.0074045410001417
M4,Micro,QRMSE,Q9516,106,1748,10,13380.167375083163,0.0088933330007421
M4,Micro,AIC,Q9551,106,1748,10,774.6437880794851,0.0074106249994656
M4,Micro,QRMSE,Q9551,106,1748,10,662.9727339392822,0.0090287909988546
M4,Micro,AIC,Q10414,737,254779,10,7671.161135923767,2.463512416001322
M4,Micro,QRMSE,Q10414,737,254779,10,3951.031364698111,2.755052666998381
M4,Other,AIC,Q23416,180,10813,10,1476.275612411213,0.0557527079981809
M4,Other,QRMSE,Q23416,180,10813,10,1085.5275015542195,0.0678829589996894
M4,Other,AIC,Q23410,177,10339,10,1553.1760328925743,0.0544499169991468
M4,Other,QRMSE,Q23410,177,10339,10,1732.6171408793537,0.0635887499993259
M4,Other,AIC,Q23524,122,3244,10,989.0886059142756,0.015516249997745
