benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M3,FINANCE     ,N2613,AIC,"[13, 51, 134]",1,0,13,103.08125735827531,1388.1447966866651,0.008751833000133047,1,8,40.0
M3,FINANCE     ,N2613,AIC,"[13, 51, 134]",2,13,51,370.3687267729511,1388.1447966866651,0.008751833000133047,1,8,40.0
M3,FINANCE     ,N2613,AIC,"[13, 51, 134]",3,51,134,914.6948125554387,1388.1447966866651,0.008751833000133047,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",1,0,9,29.273440117128587,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",2,9,17,49.079998895492984,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",3,17,51,278.26536595052085,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",4,51,65,194.97432452733085,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",5,65,77,101.06636758880721,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",6,77,126,487.8145117290217,1315.3980733725568,0.0017764169970178045,1,8,40.0
M3,FINANCE     ,N2613,QRMSE,"[9, 17, 51, 65, 77, 126, 134]",7,126,134,174.9240645642546,1315.3980733725568,0.0017764169970178045,1,8,40.0
