benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",1,0,33,236.6110028520183,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",2,33,57,143.44472756239668,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",3,57,85,105.08222243053252,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",4,85,109,100.44028297015132,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",5,109,123,42.565101869418996,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",6,123,147,108.73495079878589,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",7,147,159,38.725313518161926,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",8,159,167,22.40280364204774,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",9,167,184,58.559240563718554,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",10,184,193,29.29800119497537,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",11,193,206,30.793603434703687,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",12,206,223,77.89110189933704,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",13,223,235,25.244702851637722,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",14,235,266,192.94417615436646,4440.2728923094755,0.055187291000038385,1,8,40.0
M4,Demographic,Q13050,AIC,"[33, 57, 85, 109, 123, 147, 159, 167, 184, 193, 206, 223, 235, 266, 322, 351, 379, 421, 454, 468, 557, 618, 635, 645, 711, 735]",15,266,322,305.17966963728475,4440.2728923094755,0.055187291000038385,1,8,40.0
