benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Finance,Q20501,AIC,"[13, 37, 54, 93, 116]",1,0,13,9.966399309786693,668.456673787331,0.004799874999662279,1,8,40.0
M4,Finance,Q20501,AIC,"[13, 37, 54, 93, 116]",2,13,37,51.86322264006973,668.456673787331,0.004799874999662279,1,8,40.0
M4,Finance,Q20501,AIC,"[13, 37, 54, 93, 116]",3,37,54,67.34405106291102,668.456673787331,0.004799874999662279,1,8,40.0
M4,Finance,Q20501,AIC,"[13, 37, 54, 93, 116]",4,54,93,340.89329545320896,668.456673787331,0.004799874999662279,1,8,40.0
M4,Finance,Q20501,AIC,"[13, 37, 54, 93, 116]",5,93,116,198.38970532135463,668.456673787331,0.004799874999662279,1,8,40.0
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",1,0,36,0.8113865885504421,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",2,36,58,4.307055848487563,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",3,58,73,6.1527698412839955,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",4,73,89,9.712261405008242,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",5,89,97,19.25475841779402,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",6,97,105,4.057208091779372,50.434940462628255,0.0006546670010720845,1,8,0.05
M4,Finance,Q20501,QRMSE,"[36, 58, 73, 89, 97, 105, 116]",7,105,116,6.139500269724619,50.434940462628255,0.0006546670010720845,1,8,0.05
