benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Industry,Q15208,AIC,"[8, 44, 73, 130, 162]",1,0,8,50.399015830661355,1417.412366376704,0.012540583997179056,1,8,40.0
M4,Industry,Q15208,AIC,"[8, 44, 73, 130, 162]",2,8,44,237.9585175780363,1417.412366376704,0.012540583997179056,1,8,40.0
M4,Industry,Q15208,AIC,"[8, 44, 73, 130, 162]",3,44,73,238.91511849914582,1417.412366376704,0.012540583997179056,1,8,40.0
M4,Industry,Q15208,AIC,"[8, 44, 73, 130, 162]",4,73,130,566.0114147897627,1417.412366376704,0.012540583997179056,1,8,40.0
M4,Industry,Q15208,AIC,"[8, 44, 73, 130, 162]",5,130,162,324.12829967909784,1417.412366376704,0.012540583997179056,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",1,0,8,30.563267360695026,881.4869573561247,0.003385083000466693,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",2,8,45,74.28606223189674,881.4869573561247,0.003385083000466693,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",3,45,73,123.81673237906998,881.4869573561247,0.003385083000466693,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",4,73,146,474.97200669398643,881.4869573561247,0.003385083000466693,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",5,146,154,66.12373615324658,881.4869573561247,0.003385083000466693,1,8,40.0
M4,Industry,Q15208,QRMSE,"[8, 45, 73, 146, 154, 162]",6,154,162,111.72515253722982,881.4869573561247,0.003385083000466693,1,8,40.0
