benchmark,category,series_id,cost_name,changepoints,seg_index,low,high,seg_cost,total_cost,time_sec,jump,min_size,pen
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",1,0,41,427.2761070848551,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",2,41,109,712.6857518378779,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",3,109,210,1147.5095221725483,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",4,210,243,342.39865554601994,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",5,243,435,2081.674424044165,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",6,435,508,774.670377288058,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",7,508,617,1075.0767921368847,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",8,617,709,882.6346254800942,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,AIC,"[41, 109, 210, 243, 435, 508, 617, 709, 737]",9,709,737,261.2313332256789,7705.1575888161815,0.10117612499925599,1,8,40.0
M4,Micro,Q10414,QRMSE,[737],1,0,737,35.111863265892715,35.111863265892715,0.004356292000011308,1,8,0.05
