benchmark,category,cost,series_id,npoints,nruns,nsegm,total_cost,time_sec
M3,DEMOGRAPHIC ,AIC,N2745,134,4485,3,1649.3175290302793,0.0099146249995101
M3,DEMOGRAPHIC ,QRMSE,N2745,134,247,3,3674.604749332886,0.0008867500000633
M3,DEMOGRAPHIC ,AIC,N2677,135,2646,7,543.2431769056135,0.0059330420008336
M3,DEMOGRAPHIC ,QRMSE,N2677,135,2518,4,127.47357061760675,0.0082059999986086
M3,DEMOGRAPHIC ,AIC,N2671,135,4217,3,1511.3261639425234,0.0093827499986218
M3,DEMOGRAPHIC ,QRMSE,N2671,135,252,3,2040.453995132542,0.000908582998818
M3,DEMOGRAPHIC ,AIC,N2751,71,1181,1,992.130924202001,0.0025840410016826
M3,DEMOGRAPHIC ,QRMSE,N2751,71,122,1,3054.399989568083,0.0004556249987217
M3,DEMOGRAPHIC ,AIC,N2774,138,3426,5,690.9497374027308,0.0077812080016883
M3,DEMOGRAPHIC ,QRMSE,N2774,138,2045,3,121.70175067820178,0.0064855410018935
M3,FINANCE     ,AIC,N2852,79,2015,1,878.6134264798735,0.0044409170004655
M3,FINANCE     ,QRMSE,N2852,79,205,2,852.7831012837771,0.0007602080004289
M3,FINANCE     ,AIC,N2564,133,1950,9,721.7421518557443,0.0044015420025971
M3,FINANCE     ,QRMSE,N2564,133,1119,6,284.1405899834736,0.0037835000002814
M3,FINANCE     ,AIC,N2613,134,3893,3,1388.1447966866651,0.008751833000133
M3,FINANCE     ,QRMSE,N2613,134,514,7,1315.3980733725568,0.0017764169970178
M3,FINANCE     ,AIC,N2582,134,3376,3,921.5534402015122,0.0075994589969923
M3,FINANCE     ,QRMSE,N2582,134,592,2,306.1300214755889,0.0019922920000681
M3,FINANCE     ,AIC,N2602,144,2554,2,2286.6403570822395,0.0056644169999344
M3,FINANCE     ,QRMSE,N2602,144,266,1,12224.488474161491,0.0009727500000735
M3,INDUSTRY    ,AIC,N1901,140,4286,2,1621.9412258868892,0.0095725419996597
M3,INDUSTRY    ,QRMSE,N1901,140,258,1,1284.2813904324582,0.0009333750022051
M3,INDUSTRY    ,AIC,N2186,134,5736,1,1618.5261927461283,0.0127032920026977
M3,INDUSTRY    ,QRMSE,N2186,134,246,1,1406.432190793396,0.0008906660004868
M3,INDUSTRY    ,AIC,N1950,133,2828,2,1620.3091390955328,0.0064117920010176
M3,INDUSTRY    ,QRMSE,N1950,133,244,1,2176.601667278461,0.0008976250028354
M3,INDUSTRY    ,AIC,N2072,144,1235,1,1573.148373133702,0.0028102920005039
M3,INDUSTRY    ,QRMSE,N2072,144,266,1,805.0345341411988,0.0009394580010848
M3,INDUSTRY    ,AIC,N1907,144,2391,1,1955.91477730139,0.0052657090018328
M3,INDUSTRY    ,QRMSE,N1907,144,294,12,10858.68916692108,0.0010865000003832
M3,MACRO       ,AIC,N2501,120,3231,2,1273.004557159555,0.0071159589970193
M3,MACRO       ,QRMSE,N2501,120,275,2,947.6966575498732,0.0009727500000735
M3,MACRO       ,AIC,N2219,98,1988,5,664.593117044723,0.0044195409973326
M3,MACRO       ,QRMSE,N2219,98,372,3,324.05655965190925,0.0012884579991805
M3,MACRO       ,AIC,N2267,134,4915,3,1369.3799739924243,0.0109899999988556
M3,MACRO       ,QRMSE,N2267,134,264,2,1262.4776079607736,0.0009504579975327
M3,MACRO       ,AIC,N2270,144,5912,3,1330.1417823788156,0.0133671250005136
M3,MACRO       ,QRMSE,N2270,144,673,3,738.1738440582961,0.0022993749989836
M3,MACRO       ,AIC,N2478,144,1685,1,1906.9925842160403,0.003771499999857
M3,MACRO       ,QRMSE,N2478,144,266,1,2565.9048528352796,0.0009685000004537
M3,MICRO       ,AIC,N1871,126,2793,1,1577.0242400668287,0.0060642089993052
M3,MICRO       ,QRMSE,N1871,126,230,1,1721.9801532982003,0.0008495000001857
M3,MICRO       ,AIC,N1435,69,817,1,941.659664253052,0.001822499998525
M3,MICRO       ,QRMSE,N1435,69,116,1,2573.859685313066,0.0004359170015959
M3,MICRO       ,AIC,N1533,69,161,1,856.0063735691494,0.0004204159995424
M3,MICRO       ,QRMSE,N1533,69,116,1,1383.6578050383207,0.0004467500002647
M3,MICRO       ,AIC,N1474,69,335,1,993.8498828639828,0.0007982499992067
M3,MICRO       ,QRMSE,N1474,69,116,1,3756.9091520300103,0.0004326250018493
M3,MICRO       ,AIC,N1819,126,2717,2,1438.382513921487,0.0058997920023102
M3,MICRO       ,QRMSE,N1819,126,230,1,1575.107673893126,0.0008223750010074
M3,OTHER       ,AIC,N2824,71,1156,4,500.57053026950337,0.0026249580005242
M3,OTHER       ,QRMSE,N2824,71,549,4,250.03502741087377,0.0018665829993551
M3,OTHER       ,AIC,N2948,71,1503,2,458.2795252100226,0.0033153329968627
M3,OTHER       ,QRMSE,N2948,71,298,1,149.34679382556212,0.0010270419988955
M3,OTHER       ,AIC,N2888,71,1167,4,509.0353089703651,0.0026268330002494
M3,OTHER       ,QRMSE,N2888,71,426,2,333.51694371782094,0.0014532079985656
M3,OTHER       ,AIC,N2955,71,1525,3,596.302177540564,0.00341204200231
M3,OTHER       ,QRMSE,N2955,71,145,1,389.8410591908859,0.000546375002159
M3,OTHER       ,AIC,N2783,120,475,1,1819.1989045335547,0.0011450829988461
M3,OTHER       ,QRMSE,N2783,120,218,1,6375.397395197286,0.0007897920004324
M4,Demographic,AIC,Q11846,126,4071,3,1371.6197513655402,0.0088770000002114
M4,Demographic,QRMSE,Q11846,126,370,10,1844.541973973219,0.0013342909987841
M4,Demographic,AIC,Q11974,111,2647,5,1412.4797426438868,0.0058384580006531
M4,Demographic,QRMSE,Q11974,111,249,8,8550.945950925628,0.0009045829974638
M4,Demographic,AIC,Q12170,115,2394,2,985.3916677219028,0.0053641659978893
M4,Demographic,QRMSE,Q12170,115,208,1,334.41516277367776,0.000769082998886
M4,Demographic,AIC,Q12673,122,2478,4,1401.691220690229,0.0056577079994895
M4,Demographic,QRMSE,Q12673,122,369,8,3750.469997402497,0.0012994999997317
