benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",1,0,8,42.07488656299426,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",2,8,28,80.35107796277919,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",3,28,48,86.77014161496837,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",4,48,56,21.169166175349503,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",5,56,64,48.499552338060155,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",6,64,75,30.341400451272044,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",7,75,84,46.61257458911206,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",8,84,100,64.31362473575892,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",9,100,124,116.18863246593959,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,AIC,AIC_GAIN,"[8, 28, 48, 56, 64, 75, 84, 100, 124, 138]",10,124,138,71.312049876061,0.26316795900129364,400,400,20.0,8,0,607.633106772295
M3,DEMOGRAPHIC ,N2774,WBS,QRMSE,QRMSE_GAIN,"[66, 84, 97, 124, 138]",1,0,66,44.619207356337796,0.2114516250003362,400,400,10.0,8,0,126.69187843483698
M3,DEMOGRAPHIC ,N2774,WBS,QRMSE,QRMSE_GAIN,"[66, 84, 97, 124, 138]",2,66,84,25.03111809634788,0.2114516250003362,400,400,10.0,8,0,126.69187843483698
M3,DEMOGRAPHIC ,N2774,WBS,QRMSE,QRMSE_GAIN,"[66, 84, 97, 124, 138]",3,84,97,12.799489642494521,0.2114516250003362,400,400,10.0,8,0,126.69187843483698
M3,DEMOGRAPHIC ,N2774,WBS,QRMSE,QRMSE_GAIN,"[66, 84, 97, 124, 138]",4,97,124,22.83403273163489,0.2114516250003362,400,400,10.0,8,0,126.69187843483698
M3,DEMOGRAPHIC ,N2774,WBS,QRMSE,QRMSE_GAIN,"[66, 84, 97, 124, 138]",5,124,138,21.408030608021882,0.2114516250003362,400,400,10.0,8,0,126.69187843483698
