benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",1,0,9,87.05641144736154,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",2,9,25,144.54013217628028,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",3,25,34,80.7333409252011,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",4,34,46,97.73690751152465,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",5,46,63,172.5822253002216,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",6,63,71,69.25926471975991,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,AIC,AIC_GAIN,"[9, 25, 34, 46, 63, 71, 79]",7,71,79,67.35460960653583,0.11412412500067148,400,400,20.0,8,0,719.2628916868849
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",1,0,9,174.78405224151027,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",2,9,34,254.4970904052508,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",3,34,48,165.94808500830808,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",4,48,63,184.88980969578478,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",5,63,71,99.34160144580413,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
M3,FINANCE     ,N2852,WBS,QRMSE,QRMSE_GAIN,"[9, 34, 48, 63, 71, 79]",6,71,79,88.19263761964461,0.10179954199702479,400,400,10.0,8,0,967.6532764163027
