benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",1,0,10,119.87453276485564,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",2,10,23,165.10815722419147,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",3,23,31,91.26302422730093,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",4,31,47,218.88552571067726,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",5,47,58,133.35917370319774,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",6,58,70,151.19499055251197,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",7,70,86,222.79701895813236,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",8,86,95,113.70583431120447,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",9,95,107,152.89541663238234,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",10,107,118,131.6385164579316,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",11,118,130,146.18987310958497,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,AIC,AIC_GAIN,"[10, 23, 31, 47, 58, 70, 86, 95, 107, 118, 130, 144]",12,130,144,187.6718890785571,0.5368854999978794,400,400,20.0,8,0,1834.583952730528
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",1,0,14,1408.1946187283672,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",2,14,23,721.6287963889592,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",3,23,31,392.99598660899625,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",4,31,39,886.3900829494687,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",5,39,47,695.0229425833154,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",6,47,55,547.3887590333426,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",7,55,70,1576.1379358705963,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",8,70,79,1111.6307719342394,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",9,79,87,758.2750925738718,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",10,87,95,650.047012200436,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",11,95,107,920.7627065645149,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",12,107,122,1577.5510187033435,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",13,122,132,1142.8422705038877,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
M3,INDUSTRY    ,N1907,WBS,QRMSE,QRMSE_GAIN,"[14, 23, 31, 39, 47, 55, 70, 79, 87, 95, 107, 122, 132, 144]",14,132,144,1392.7486279737661,0.4417221250005241,400,400,10.0,8,0,13781.616622617106
