benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",1,0,21,232.37162999844637,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",2,21,30,92.2205654232427,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",3,30,45,141.284929794977,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",4,45,60,144.5816968055844,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",5,60,71,82.49719215257089,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",6,71,84,138.2040888654047,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",7,84,113,281.44645779804426,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,AIC,AIC_GAIN,"[21, 30, 45, 60, 71, 84, 113, 134]",8,113,134,206.73319383985594,0.26759233299890184,400,400,20.0,8,0,1319.3397546781262
M3,MACRO       ,N2267,WBS,QRMSE,QRMSE_GAIN,"[21, 30, 84, 134]",1,0,21,492.03525542780386,0.26833754099789076,400,400,10.0,8,0,1414.5981490939366
M3,MACRO       ,N2267,WBS,QRMSE,QRMSE_GAIN,"[21, 30, 84, 134]",2,21,30,232.86262044390054,0.26833754099789076,400,400,10.0,8,0,1414.5981490939366
M3,MACRO       ,N2267,WBS,QRMSE,QRMSE_GAIN,"[21, 30, 84, 134]",3,30,84,365.38563896763617,0.26833754099789076,400,400,10.0,8,0,1414.5981490939366
M3,MACRO       ,N2267,WBS,QRMSE,QRMSE_GAIN,"[21, 30, 84, 134]",4,84,134,324.31463425459606,0.26833754099789076,400,400,10.0,8,0,1414.5981490939366
