benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",1,0,15,111.40349959842897,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",2,15,24,53.984210165229335,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",3,24,38,105.37744963297465,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",4,38,46,42.90897360249118,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",5,46,58,71.97370388108575,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,AIC,AIC_GAIN,"[15, 24, 38, 46, 58, 71]",6,58,71,72.8737115542381,0.11182929200003855,400,400,20.0,8,0,458.52154843444794
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",1,0,15,70.60699391584657,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",2,15,24,27.832564194296136,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",3,24,38,72.2684410290868,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",4,38,46,19.137910974414375,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",5,46,60,32.01202459168551,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
M3,OTHER       ,N2824,WBS,QRMSE,QRMSE_GAIN,"[15, 24, 38, 46, 60, 71]",6,60,71,27.13259564334314,0.11532658299984178,400,400,10.0,8,0,248.99053034867254
