benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",1,0,18,170.40061540646062,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",2,18,28,85.18837897164113,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",3,28,36,64.59477105605731,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",4,36,44,46.16166218264825,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",5,44,61,135.09454446664026,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",6,61,69,75.41316182961022,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",7,69,108,409.19452321924655,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",8,108,117,113.66511523909651,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",9,117,126,109.59252819221815,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,AIC,AIC_GAIN,"[18, 28, 36, 44, 61, 69, 108, 117, 126, 136]",10,126,136,136.5171233334705,0.24909820799803128,400,400,20.0,8,0,1345.8224238970893
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",1,0,26,243.19124342214565,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",2,26,36,110.83167885364769,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",3,36,44,23.452199172431943,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",4,44,58,87.94057250054716,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",5,58,67,103.64894297840551,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",6,67,106,455.86496466033117,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",7,106,115,686.0328037081773,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",8,115,124,657.3209413957562,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
M4,Finance,Q18638,WBS,QRMSE,QRMSE_GAIN,"[26, 36, 44, 58, 67, 106, 115, 124, 136]",9,124,136,1373.1578593417892,0.23483904200111283,400,400,10.0,8,0,3741.4412060332315
