benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",1,0,13,33.88295822413305,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",2,13,29,52.18774518106038,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",3,29,40,46.699825644356814,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",4,40,56,36.12787102459682,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",5,56,67,13.086644009264754,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",6,67,79,50.670524497096956,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",7,79,90,24.577229325878854,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",8,90,116,109.43583920312436,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,AIC,AIC_GAIN,"[13, 29, 40, 56, 67, 79, 90, 116, 126]",9,116,126,21.45662644458489,0.22058504199958406,400,400,20.0,8,0,388.12526355409693
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",1,0,32,19.98961157875307,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",2,32,52,5.382677804602374,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",3,52,64,2.3516480327819003,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",4,64,79,16.75748859266941,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",5,79,89,4.260679558624627,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",6,89,116,17.334923569219846,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
M4,Macro,Q3957,WBS,QRMSE,QRMSE_GAIN,"[32, 52, 64, 79, 89, 116, 126]",7,116,126,4.256629268189325,0.20377716700022575,400,400,10.0,8,0,70.33365840484055
