benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",1,0,14,164.2975777412765,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",2,14,28,151.0872678132382,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",3,28,36,69.0605187165926,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",4,36,44,99.67739751500288,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",5,44,62,254.87447205472955,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",6,62,76,165.35730949890575,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",7,76,95,256.1083772121709,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,AIC,AIC_GAIN,"[14, 28, 36, 44, 62, 76, 95, 109]",8,95,109,199.7843611920991,0.16542116600248846,400,400,20.0,8,0,1360.2472817440155
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",1,0,14,592.6937496379956,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",2,14,28,369.76994427183496,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",3,28,36,98.11524971532688,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",4,36,44,664.9406111375022,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",5,44,72,2297.8463399965012,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",6,72,95,1615.880723174597,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
M4,Micro,Q11298,WBS,QRMSE,QRMSE_GAIN,"[14, 28, 36, 44, 72, 95, 109]",7,95,109,2104.983581676315,0.15863549999994575,400,400,10.0,8,0,7744.230199610073
