benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",1,0,13,98.03130983241792,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",2,13,25,96.58671594095783,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",3,25,48,170.75957802856874,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",4,48,58,62.12772758364606,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",5,58,95,249.8771346043203,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",6,95,104,44.61481336263717,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",7,104,112,46.927363069967384,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",8,112,136,112.86996356178312,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",9,136,148,61.45164903779634,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
M4,Other,Q23661,WBS,AIC,AIC_GAIN,"[13, 25, 48, 58, 95, 104, 112, 136, 148, 160, 172, 196, 205, 213, 226, 236, 244, 252, 261, 271, 291, 312, 346, 357, 375, 383, 391, 406, 426, 439, 454, 463, 477, 491, 503, 515, 527, 538, 547, 562, 574, 586, 598, 610, 618, 639, 650, 658, 671, 683, 701]",10,148,160,40.005761373492405,2.4615348749975965,400,400,20.0,8,0,4195.593076391465
