benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",1,0,19,17.76800369162451,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",2,19,30,15.371847685221606,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",3,30,39,2.4931303781053393,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",4,39,57,22.36215731270079,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",5,57,68,23.100828440544042,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",6,68,88,16.67580917561604,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",7,88,96,8.41534234342923,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",8,96,115,37.0901309480273,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",9,115,127,12.42645994043961,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
M6,Finance,COP,WBS,AIC,AIC_GAIN,"[19, 30, 39, 57, 68, 88, 96, 115, 127, 146, 156, 169, 198, 214, 252, 265]",10,127,146,12.507282439465627,0.7522288330001174,400,400,20.0,8,0,379.66581982989675
