benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,cost,time_sec,nruns,M,threshold,min_seg_len,seed
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",1,0,16,-219.26541713513285,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",2,16,25,-113.47091093301326,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",3,25,34,-120.65703466441703,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",4,34,46,-164.02905405816847,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",5,46,56,-125.27799488936057,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",6,56,69,-164.82096951621077,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",7,69,84,-185.619690329952,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",8,84,98,-177.53662728599383,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",9,98,106,-97.48339138775161,0.7236220420018071,400,400,10.0,8,0
M6,Finance,EURCHF,WBS,AIC,AIC_GAIN,"[16, 25, 34, 46, 56, 69, 84, 98, 106, 114, 125, 147, 159, 167, 175, 187, 201, 214, 224, 233, 244, 255, 263]",10,106,114,-108.15070973232707,0.7236220420018071,400,400,10.0,8,0
