benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,cost,time_sec,nruns,M,threshold,min_seg_len,seed
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",1,0,16,-189.95174569668856,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",2,16,28,-134.48422670352753,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",3,28,38,-115.73753171846523,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",4,38,47,-97.8049594094218,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",5,47,57,-103.84392148007359,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",6,57,81,-278.66546775785616,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",7,81,89,-89.31245409375111,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",8,89,102,-149.1373795966916,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",9,102,110,-85.88760689660911,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",10,110,128,-201.05999091447885,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",11,128,136,-87.56141479465572,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",12,136,148,-140.7363043118812,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",13,148,157,-101.86460755176138,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",14,157,170,-145.08214334534662,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",15,170,179,-99.26791413385355,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",16,179,192,-162.9433906639193,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",17,192,203,-122.25385600722761,0.6903211659955559,400,400,10.0,8,0
M6,Finance,EURUSD,WBS,AIC,AIC_GAIN,"[16, 28, 38, 47, 57, 81, 89, 102, 110, 128, 136, 148, 157, 170, 179, 192, 203, 218, 234, 244, 263]",18,203,218,-187.55757016918798,0.6903211659955559,400,400,10.0,8,0
