benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",1,0,20,-52.5140304378086,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",2,20,28,-29.678198193393406,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",3,28,43,-34.76883242029944,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",4,43,58,-47.9360126530743,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",5,58,76,-61.77209625053902,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",6,76,85,-24.8140699016593,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",7,85,96,-39.82369731958247,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",8,96,106,-27.53375818082091,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",9,106,123,-44.076470999108494,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",10,123,131,-39.60396943380934,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",11,131,151,-86.24759839617695,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",12,151,163,-40.243196971887585,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",13,163,172,-30.67962777379737,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",14,172,182,-39.59852775549407,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",15,182,198,-47.13066552621502,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",16,198,225,-92.90184574824319,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",17,225,233,-23.48016017379301,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",18,233,245,-32.9544957095301,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,AIC,AIC_GAIN,"[20, 28, 43, 58, 76, 85, 96, 106, 123, 131, 151, 163, 172, 182, 198, 225, 233, 245, 253]",19,245,253,-33.474584307298386,0.6418133330007549,400,400,20.0,8,0,-829.2318381525309
M6,Finance,EWG,WBS,QRMSE,QRMSE_GAIN,[253],1,0,253,5.52189234858734,0.15477608299988788,400,400,10.0,8,0,5.52189234858734
