benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",1,0,10,-37.05481645164297,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",2,10,20,-21.910424675894085,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",3,20,28,-29.682146477616506,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",4,28,43,-19.398266637743255,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",5,43,68,-55.07472369744041,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",6,68,81,-26.28161978623237,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",7,81,93,-36.69154802538053,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",8,93,108,-23.635446444184925,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",9,108,123,-31.23476003944471,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",10,123,131,-27.197647525370915,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",11,131,139,-27.89109326146804,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",12,139,148,-41.29809515561949,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",13,148,163,-36.577201872380506,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",14,163,180,-39.10793303090339,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",15,180,198,-33.1088301013959,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",16,198,211,-37.86491241897215,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",17,211,233,-56.95816504138864,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",18,233,245,-38.81533571739732,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,AIC,AIC_GAIN,"[10, 20, 28, 43, 68, 81, 93, 108, 123, 131, 139, 148, 163, 180, 198, 211, 233, 245, 253]",19,245,253,-30.170137322213726,0.6203204580015154,400,400,20.0,8,0,-649.9531036826899
M6,Finance,EWQ,WBS,QRMSE,QRMSE_GAIN,[253],1,0,253,6.299117305836159,0.1534330839967879,400,400,10.0,8,0,6.299117305836159
