benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,cost,time_sec,nruns,M,threshold,min_seg_len,seed
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",1,0,16,-177.52199456690644,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",2,16,28,-123.55712492340322,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",3,28,37,-109.50779405630018,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",4,37,46,-101.04058062985575,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",5,46,56,-93.3061683658125,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",6,56,68,-129.6382027485002,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",7,68,76,-108.60185085455142,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",8,76,86,-101.93342556709148,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",9,86,99,-148.68040179190382,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",10,99,113,-138.43100171042525,0.6467004169971915,400,400,10.0,8,0
M6,Finance,GBPUSD,WBS,AIC,AIC_GAIN,"[16, 28, 37, 46, 56, 68, 76, 86, 99, 113, 122, 136, 146, 157, 174, 183, 194, 202, 218, 229, 242, 251, 263]",11,113,122,-98.52791569105915,0.6467004169971915,400,400,10.0,8,0
