benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,cost,time_sec,nruns,M,threshold,min_seg_len,seed
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",1,0,8,2.605311077675721,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",2,8,20,-5.248855417197706,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",3,20,29,-12.870770858299963,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",4,29,49,2.1240730011562423,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",5,49,63,-7.740808544945278,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",6,63,73,-4.640178947532004,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",7,73,83,-32.94442520630086,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",8,83,92,-14.647451143901346,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",9,92,109,-24.67214523108785,0.6515887919958914,400,400,10.0,8,0
M6,Finance,RBLX,WBS,AIC,AIC_GAIN,"[8, 20, 29, 49, 63, 73, 83, 92, 109, 118, 127, 136, 146, 163, 172, 180, 188, 205, 215, 230, 241, 253]",10,109,118,-4.11847984761782,0.6515887919958914,400,400,10.0,8,0
