benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",1,0,13,-26.15889783104008,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",2,13,29,-34.93059106151299,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",3,29,43,-51.41377636998966,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",4,43,62,-35.721390237189766,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",5,62,71,-38.57948939016075,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",6,71,81,-21.214346207689104,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",7,81,92,-30.959809521831005,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",8,92,100,-25.371124470710363,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",9,100,115,-46.18400267182544,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",10,115,129,-45.33258939842122,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",11,129,144,-38.887445523683674,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",12,144,152,-11.516858160271623,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",13,152,164,-35.46767226748355,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",14,164,176,-46.40176981928305,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",15,176,185,-28.777666130650182,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",16,185,195,-27.14691192651285,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",17,195,205,-25.46583059039376,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",18,205,218,-41.459628036147485,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",19,218,234,-22.48118686938624,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",20,234,245,-23.236308564643412,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,AIC,AIC_GAIN,"[13, 29, 43, 62, 71, 81, 92, 100, 115, 129, 144, 152, 164, 176, 185, 195, 205, 218, 234, 245, 253]",21,245,253,-20.795472182872892,0.7097342080014641,400,400,20.0,8,0,-677.5027672316991
M6,Finance,SLV,WBS,QRMSE,QRMSE_GAIN,"[192, 253]",1,0,192,8.221770605186633,0.2497365829985938,400,400,10.0,8,0,13.680074017723658
M6,Finance,SLV,WBS,QRMSE,QRMSE_GAIN,"[192, 253]",2,192,253,5.458303412537025,0.2497365829985938,400,400,10.0,8,0,13.680074017723658
