benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,cost,time_sec,nruns,M,threshold,min_seg_len,seed
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",1,0,16,-13.833994653352967,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",2,16,25,-10.307439494377329,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",3,25,37,-16.862295446652027,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",4,37,45,-5.395598689129713,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",5,45,60,6.959205630425752,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",6,60,68,-6.3102853072941425,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",7,68,90,-24.30260822433013,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",8,90,106,-41.26885832839214,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",9,106,114,-9.719415496458886,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",10,114,123,-43.88941802187784,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",11,123,138,-11.49280459355556,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",12,138,146,-0.457424304802279,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",13,146,157,-0.7754688622275019,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",14,157,172,-11.215146107051346,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",15,172,182,-7.06230957472323,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",16,182,192,-26.87393013735205,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",17,192,201,-7.2690935768863305,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",18,201,217,-40.37394471474501,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",19,217,229,4.504918670293911,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",20,229,242,-51.20651122060479,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",21,242,254,-26.377857763918723,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,AIC,AIC_GAIN,"[16, 25, 37, 45, 60, 68, 90, 106, 114, 123, 138, 146, 157, 172, 182, 192, 201, 217, 229, 242, 254, 263]",22,254,263,8.508719687222637,0.6617572919931263,400,400,10.0,8,0
M6,Finance,USDJPY,WBS,QRMSE,QRMSE_GAIN,[263],1,0,263,0.18081543680847179,0.1268390829936834,400,400,10.0,8,0
