benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",1,0,31,16.54567646640855,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",2,31,49,-33.58493659929703,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",3,49,67,-0.3695975951323449,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",4,67,90,-26.346292190471353,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",5,90,99,1.7122843834478676,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",6,99,125,-70.0728077037021,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",7,125,141,-39.67074367942695,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",8,141,155,-38.406242640890675,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",9,155,163,-7.92396925454927,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",10,163,177,-7.966073637561175,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",11,177,186,-20.905496781001467,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",12,186,200,-26.05842588743527,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",13,200,214,-29.198219196865956,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",14,214,234,-48.38015348019108,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",15,234,242,-25.109656206058563,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",16,242,252,-30.18724635947646,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,AIC,AIC_GAIN,"[31, 49, 67, 90, 99, 125, 141, 155, 163, 177, 186, 200, 214, 234, 242, 252, 265]",17,252,265,-25.507756810339423,0.7668395830005466,400,400,20.0,8,0,-411.42965717254265
M6,Finance,VXX,WBS,QRMSE,QRMSE_GAIN,"[24, 185, 265]",1,0,24,6.7608597516778115,0.39077204200111737,400,400,10.0,8,0,29.327707967740533
M6,Finance,VXX,WBS,QRMSE,QRMSE_GAIN,"[24, 185, 265]",2,24,185,20.043516579464224,0.39077204200111737,400,400,10.0,8,0,29.327707967740533
M6,Finance,VXX,WBS,QRMSE,QRMSE_GAIN,"[24, 185, 265]",3,185,265,2.523331636598495,0.39077204200111737,400,400,10.0,8,0,29.327707967740533
