benchmark,category,cost,series_id,npoints,nruns,nsegm,total_cost,time_sec
<<<<<<< HEAD
M3,DEMOGRAPHIC ,AIC,N2745,134,400,10,1528.0567617734357,0.2730118749987014
M3,DEMOGRAPHIC ,QRMSE,N2745,134,400,12,3657932.233054973,0.2388844170000084
M3,DEMOGRAPHIC ,AIC,N2677,135,400,11,517.26024044328,0.2291493329994409
M3,DEMOGRAPHIC ,QRMSE,N2677,135,400,14,1063.397030977637,0.2151663330005249
M3,DEMOGRAPHIC ,AIC,N2671,135,400,6,1454.692062979675,0.2580979160011338
M3,DEMOGRAPHIC ,QRMSE,N2671,135,400,12,1053883.0514852067,0.2162504580010136
M3,DEMOGRAPHIC ,AIC,N2751,71,400,3,954.9562174524624,0.0731095409992121
M3,DEMOGRAPHIC ,QRMSE,N2751,71,400,8,6776618.688452711,0.0850631659995997
M3,DEMOGRAPHIC ,AIC,N2774,138,400,10,607.633106772295,0.2622356249994482
M3,DEMOGRAPHIC ,QRMSE,N2774,138,400,11,3499.829906150513,0.2143728750015725
M3,FINANCE     ,AIC,N2852,79,400,7,719.2628916868849,0.1139799169995967
M3,FINANCE     ,QRMSE,N2852,79,400,7,151160.19674152118,0.1088523750004242
M3,FINANCE     ,AIC,N2564,133,400,11,698.8587006400348,0.2386171669986652
M3,FINANCE     ,QRMSE,N2564,133,400,12,15191.921344561844,0.2008224999990489
M3,FINANCE     ,AIC,N2613,134,400,10,1208.4665128988772,0.2475244170000223
M3,FINANCE     ,QRMSE,N2613,134,400,12,259986.08150402844,0.2323449590003292
M3,FINANCE     ,AIC,N2582,134,400,9,819.5941613429825,0.234581500000786
M3,FINANCE     ,QRMSE,N2582,134,400,10,14852.392681292153,0.1798376249989814
M3,FINANCE     ,AIC,N2602,144,400,3,2265.092739031355,0.2331859160003659
M3,FINANCE     ,QRMSE,N2602,144,400,8,175519073.41646913,0.2282061249989055
M3,INDUSTRY    ,AIC,N1901,140,400,6,1569.1642478953352,0.2403881669997645
M3,INDUSTRY    ,QRMSE,N1901,140,400,13,2816845.8883493906,0.303743915999803
M3,INDUSTRY    ,AIC,N2186,134,400,4,1545.9045904730526,0.284619666999788
M3,INDUSTRY    ,QRMSE,N2186,134,400,11,2643346.927706477,0.2920902080004453
M3,INDUSTRY    ,AIC,N1950,133,400,5,1598.0351815039248,0.2206625420003547
M3,INDUSTRY    ,QRMSE,N1950,133,400,11,4033111.507634442,0.1991447079999488
M3,INDUSTRY    ,AIC,N2072,144,400,1,1573.1483731336982,0.095158291998814
M3,INDUSTRY    ,QRMSE,N2072,144,400,14,1332758.7324782358,0.3367070829990553
M3,INDUSTRY    ,AIC,N1907,144,400,12,1834.583952730528,0.5309779169983813
M3,INDUSTRY    ,QRMSE,N1907,144,400,16,11781451.289773598,0.4382476249993488
M3,MACRO       ,AIC,N2501,120,400,5,1200.88380656171,0.2359461670002929
M3,MACRO       ,QRMSE,N2501,120,400,9,616295.4725993661,0.2641280419993563
M3,MACRO       ,AIC,N2219,98,400,7,635.7527570284877,0.1460374159996718
M3,MACRO       ,QRMSE,N2219,98,400,11,18559.617249197432,0.111560625000493
M3,MACRO       ,AIC,N2267,134,400,8,1319.3397546781262,0.2754868329993769
M3,MACRO       ,QRMSE,N2267,134,400,11,541071.9742253679,0.2612564159990143
M3,MACRO       ,AIC,N2270,144,400,9,1238.169137253024,0.3205208749986923
M3,MACRO       ,QRMSE,N2270,144,400,14,180426.9113760657,0.2811907920004159
M3,MACRO       ,AIC,N2478,144,400,11,1781.35943270821,0.240548083998874
M3,MACRO       ,QRMSE,N2478,144,400,13,12145614.670371177,0.2888894170009735
M3,MICRO       ,AIC,N1871,126,400,4,1531.6239044956783,0.2618852080013312
M3,MICRO       ,QRMSE,N1871,126,400,10,5256292.558960824,0.1927620420010498
M3,MICRO       ,AIC,N1435,69,400,2,924.1928783417112,0.0784822499990696
