t,cases,rolling,run1,run2,run3,run4,run5
0,2803,,5442,37425.71429,16718.14286,15524.28571,23330.85714
1,6390,,6185.428571,38330.28571,16801.42857,15608,23228.42857
2,6552,,6492.714286,38970.28571,16949.42857,15914.57143,23257.57143
3,6961,,6738.714286,41025,17634,16127,23510.57143
4,7169,,6865.714286,43054.57143,18229.28571,16297.71429,23701.28571
5,5625,,7104,44943.14286,18811.71429,16396.71429,24806.14286
6,2594,5442,7362.285714,47126.28571,21047.28571,16964.71429,27459.42857
7,8007,6185.428571,7486.714286,49220,20806.71429,17490.14286,25606.42857
8,8541,6492.714286,7772.714286,51091.71429,21352.14286,18134.14286,25507.71429
9,8274,6738.714286,8133.857143,52035.14286,21635.28571,18731.14286,25718.57143
10,7850,6865.714286,8456.857143,56337.85714,23392,19472.71429,25974.71429
11,8837,7104,8896.857143,59861.85714,24986.28571,20240.28571,26193.85714
12,7433,7362.285714,9256,63743.71429,27035.71429,20681,27451.42857
13,3465,7486.714286,9555,67041,29198.28571,23180.71429,28619.28571
14,10009,7772.714286,9679.285714,69620,31460.71429,25397.57143,29701.28571
15,11069,8133.857143,10079.42857,71183.85714,33178,27522.71429,30743
16,10535,8456.857143,10426.14286,71567.42857,33973.71429,29339.14286,31479.85714
17,10930,8896.857143,10801.57143,72617,37669.28571,31016,31882.57143
18,11351,9256,11129.57143,72930.57143,40408.71429,32365.57143,32022.85714
19,9526,9555,11467.57143,72778.42857,43310.85714,32796.57143,32637.71429
20,4335,9679.285714,11799.28571,72292.85714,46146.57143,35175.57143,32263.42857
21,12810,10079.42857,11967.28571,72256.14286,48956.71429,36174,32459.42857
22,13496,10426.14286,12424.57143,72151,51632.14286,37478.85714,32388.85714
23,13163,10801.57143,12804.57143,71906.71429,52785.85714,38838.42857,32175.42857
24,13226,11129.57143,13209.14286,72530,57998,40266.42857,32012.71429
25,13717,11467.57143,13719.28571,72750.71429,61859.57143,41024,31960
26,11848,11799.28571,14234.85714,71990.28571,65653.14286,41217.28571,31866.57143
27,5511,11967.28571,14594,71786.42857,69867.57143,41899.71429,32218.42857
28,16011,12424.57143,14783.42857,71320.71429,74336.71429,42322.85714,31896.42857
29,16156,12804.57143,15309.85714,70543.42857,77600.71429,42200,31849.28571
30,15995,13209.14286,15883.28571,70326.14286,79057.42857,41578.42857,32026.14286
31,16797,13719.28571,15029.28571,68478.28571,85148.85714,40873.57143,32116
32,17326,14234.85714,15673.71429,67088.14286,89120.57143,40236.57143,32151.85714
33,14362,14594,16436.57143,66366.57143,92740.42857,39957.85714,31901
34,6837,14783.42857,17131,65317.57143,94699.42857,38993,31590.85714
35,19696,15309.85714,17457.14286,64379.71429,96540.42857,38125.57143,31051.85714
36,20170,15883.28571,18304,64217.28571,97825,37206.85714,27637.28571
37,10017,15029.28571,19176.85714,63926,98011.85714,36562.85714,27943.28571
38,21308,15673.71429,21540.14286,62970.28571,98954.14286,35672,27454
39,22666,16436.57143,22344.42857,61852.42857,99361.71429,35070.42857,27384.57143
40,19223,17131,23333.85714,60943.14286,99114.57143,34856,26303
41,9120,17457.14286,24025.28571,60372.28571,98526,33293.28571,25285.42857
42,25624,18304,24489.42857,60192.42857,97054.42857,32235.85714,24314.71429
43,26280,19176.85714,26308.42857,60040.14286,95331.14286,31123.14286,26104.42857
44,26560,21540.14286,28581.71429,58989,94440.71429,30135,24090
45,26938,22344.42857,32126,49839.85714,90603,29171.28571,23357.42857
46,29592,23333.85714,36627.57143,56703.14286,86905.28571,28287.28571,22899.85714
47,24063,24025.28571,40760.85714,58236.28571,83004.57143,27855,20790.57143
48,12369,24489.42857,39512.42857,59732.14286,79335.85714,25418,19912.57143
49,38357,26308.42857,41913.85714,60893,76048.14286,21935.85714,19208
50,42193,28581.71429,52496.14286,61239.42857,73496.85714,,18712
51,51370,32126,65173.71429,62335.85714,72416.42857,,18559.28571
52,58449,36627.57143,80887.42857,62800,67840.57143,,18495.28571
53,58525,40760.85714,96689.57143,61414.71429,64781,,18039.28571
54,15324,39512.42857,108591.7143,59674,61697.28571,,14975.57143
55,29179,41913.85714,111576.4286,57475.14286,59118.14286,,16636.42857
56,112433,52496.14286,116728.1429,54838.85714,56419.85714,,17194.85714
57,130936,65173.71429,131898.7143,52721,54513.71429,,18018.28571
58,161366,80887.42857,142961.8571,51467.85714,53752.71429,,18652.14286
59,169064,96689.57143,149838.2857,57270.85714,49992.85714,,18772.28571
60,141840,108591.7143,135775.5714,49729.14286,47290.28571,,18752.42857
61,36217,111576.4286,148675.5714,47294.28571,44801.42857,,21559.57143
62,65241,116728.1429,165498.5714,45314.57143,42574.14286,,19683.57143
63,218627,131898.7143,166388.8571,43546.85714,40360.57143,,18880.42857
64,208378,142961.8571,171139.1429,42319.14286,38661.71429,,17741.57143
65,209501,149838.2857,170644.2857,42287,37925.42857,,14890.42857
66,70625,135775.5714,167636.7143,41000.71429,34517.42857,,14520.14286
67,232140,148675.5714,182658,40202.57143,32423.14286,,14637.71429
68,153978,165498.5714,175362.1429,39492.14286,30433.42857,,13571.71429
69,71473,166388.8571,174074.4286,38700.42857,28739.14286,,12616.85714
70,251879,171139.1429,173081.5714,37985.42857,27285,,11560.71429
71,204914,170644.2857,171255.5714,37249.85714,26246.42857,,10499
72,188448,167636.7143,169709,36750.14286,26084.42857,,10994.42857
73,175774,182658,169851,34957.85714,20764.71429,,9837.428571
74,181069,175362.1429,169589.8571,33409.42857,22017.85714,,9495.142857
75,144964,174074.4286,168564.5714,31769.28571,21744,,8290.571429
76,64523,173081.5714,167256.1429,30127.42857,21583.14286,,7658.714286
77,239097,171255.5714,166825.7143,28415,21549.14286,,7212.857143
78,194088,169709,162437.8571,27097.57143,21626.85714,,6858.428571
79,189442,169851,157315.4286,26669.85714,21510.14286,,6519.285714
80,173946,169589.8571,151946.2857,24687.85714,25671.71429,,6220.571429
81,173892,168564.5714,146273.7143,23511.14286,23754.85714,,6151.142857
82,135805,167256.1429,140244,22309.85714,23243.71429,,5637.857143
83,61510,166825.7143,135521.1429,21290.71429,22865.28571,,5428.571429
