,IBatt_Min
0,-0.3833
1,-0.3796
2,-0.3908
3,-0.3884
4,-0.3807
5,-0.3732
6,-0.374
7,-0.3825
8,-0.3846
9,-0.3914
10,-0.3973
11,-0.3953
12,-0.3905
13,-0.3923
14,-0.3923
15,-0.3942
16,-0.3909
17,-0.385
18,-0.3827
19,-0.3804
20,-0.3834
21,-0.3832
22,-0.4226
23,-0.4028
24,-0.3994
25,-0.3852
26,-0.384
27,-0.3845
28,-0.384
29,-0.3849
30,-0.3827
31,-0.3826
32,-0.3928
33,-0.3919
34,-0.3926
35,-0.3904
36,-0.3922
37,-0.3838
38,-0.3884
39,-0.3876
40,-0.3957
41,-0.4038
42,-0.386
43,-0.3899
44,-0.397
45,-0.3841
46,-0.395
47,-0.3734
48,-0.3722
49,-0.377
50,-0.3798
51,-0.3832
52,-0.3862
53,-0.3848
54,-0.385
55,-0.3697
56,-0.3521
57,-0.3685
58,-0.3709
59,-0.3716
60,-0.3864
61,-0.3867
62,-0.3722
63,-0.3799
64,-0.3798
65,-0.3853
66,-0.3909
67,-0.3699
68,-0.3694
69,-0.3716
70,-0.3755
71,-0.3715
72,-0.3785
73,-0.3804
74,-0.377
75,-0.3751
76,-0.3708
77,-0.3822
78,-0.3857
79,-0.3897
80,-0.3776
81,-0.3788
82,-0.3715
83,-0.3712
84,-0.3789
85,-0.3864
86,-0.387
87,-0.385
88,-0.3855
89,-0.3917
90,-0.3839
91,-0.382
92,-0.3795
93,-0.3773
94,-0.3798
95,-0.3841
96,-0.3925
97,-0.3775
98,-0.3798
99,-0.3794
100,-0.386
101,-0.3887
102,-0.3838
103,-0.39
104,-0.3765
105,-0.3774
106,-0.3783
107,-0.3799
108,-0.3827
109,-0.3819
110,-0.3777
111,-0.3781
112,-0.3736
113,-0.3803
114,-0.3805
115,-0.3726
116,-0.3706
117,-0.3742
118,-0.3763
119,-0.3818
120,-0.371
121,-0.3714
122,-0.3704
123,-0.3691
124,-0.3762
125,-0.3678
126,-0.3679
127,-0.3694
128,-0.3676
129,-0.3712
130,-0.3684
131,-0.3668
132,-0.3713
133,-0.3661
134,-0.398
135,-0.3988
136,-0.3612
137,-0.3744
138,-0.3739
139,-0.3804
140,-0.3783
141,-0.3785
142,-0.3796
143,-0.3788
144,-0.3797
145,-0.3832
146,-0.3841
147,-0.3748
148,-0.3839
149,-0.377
150,-0.3904
151,-0.4032
152,-0.4183
153,-0.4207
154,-0.4236
155,-0.4371
156,-0.4277
157,-0.428
158,-0.4242
159,-0.4196
160,-0.4302
161,-0.4263
162,-0.4453
163,-0.4423
164,-0.4253
165,-0.4326
166,-0.4343
167,-0.4571
168,-0.421
169,-0.427
170,-0.4245
171,-0.4316
172,-0.4474
173,-0.4457
174,-0.4467
175,-0.4838
176,-0.4832
177,-0.4003
178,-0.4027
179,-0.4026
180,-0.4014
181,-0.4018
182,-0.3999
183,-0.4022
184,-0.4006
185,-0.4042
186,-0.4024
187,-0.4054
188,-0.4096
189,-0.3998
190,-0.3969
191,-0.3975
192,-0.3989
193,-0.4014
