t,SDI_Temp_1m
1,23.57
5,23.34
9,23.14
13,22.78
17,22.78
21,23.16
25,23.83
29,23.69
33,23.55
37,23.35
41,23.12
45,23.27
49,23.53
53,23.49
57,23.34
61,23.04
65,23.03
69,23.55
73,23.77
77,24.07
81,23.68
85,23.54
89,23.47
93,23.47
97,23.46
101,23.49
105,23.12
109,22.73
113,22.63
117,23.66
121,23.85
125,23.83
129,23.84
133,23.18
137,22.9
141,23.68
145,23.86
149,23.72
153,23.28
157,23.32
161,23
165,23.49
169,23.59
173,23.52
177,23.2
181,23.02
185,22.92
189,23.6
193,24
197,23.66
201,23.43
205,23.15
209,22.77
213,23.44
217,23.54
221,23.29
225,23.13
229,22.65
233,22.51
237,22.88
241,23.08
245,22.95
249,22.58
253,22.2
257,22.06
261,28.22
265,22.46
269,19.09
273,17.47
277,15.94
281,22.63
285,23.39
289,23.72
293,23.09
297,22.79
301,22.84
305,22.81
309,23.33
313,23.28
317,23.05
321,22.97
325,22.72
329,22.83
333,23.04
337,23.2
341,23.09
345,22.85
349,22.76
353,22.88
357,23.23
361,23.36
365,23.24
369,23.06
373,22.98
377,22.96
381,23.01
385,23.07
389,22.98
393,23.29
397,23.2
401,23.15
405,23.79
409,23.63
413,23.56
417,23.36
421,23.31
425,23.35
429,23.54
433,23.36
437,23.5
441,23.36
445,23.25
449,23.32
453,23.51
457,23.47
461,23.41
465,23.32
469,23.39
473,23.31
477,23.73
481,23.47
485,23.44
489,23.37
493,23.23
497,23.22
501,24.03
505,23.68
509,23.52
513,23.56
517,23.51
521,23.41
525,24.12
529,23.89
533,23.75
537,23.64
541,23.61
545,23.56
549,23.93
553,23.86
557,23.62
561,23.5
565,23.49
569,23.36
573,23.54
577,24.03
581,23.69
585,23.46
589,23.08
593,23.13
597,23.55
601,23.54
605,23.2
609,23.07
613,22.96
617,22.88
621,23.44
625,23.33
629,23.21
633,23.14
637,22.96
641,22.99
645,23.2
649,23.15
653,23.04
657,23.07
661,22.93
665,22.85
669,22.95
673,23.06
677,23.08
681,22.78
685,22.68
689,22.77
693,23.02
697,23.11
701,22.89
705,22.9
709,22.76
713,22.86
717,23.29
721,23.14
725,23.1
729,23.01
733,22.82
737,22.71
741,23.22
745,23.23
749,22.99
753,22.89
757,22.79
761,22.81
765,22.93
769,22.92
773,22.94
777,22.84
781,22.77
785,22.68
789,23.11
793,22.92
797,22.59
801,22.37
805,22.1
809,21.88
813,22.06
817,21.95
821,21.93
825,21.82
829,21.62
833,21.47
837,21.97
841,21.65
845,21.42
849,21.45
853,21.33
857,21.18
861,21.62
865,21.54
869,21.32
873,21.22
877,21.02
881,20.82
885,21.57
889,21.11
893,20.94
897,20.79
901,20.72
905,20.6
909,21.03
913,21.1
917,20.89
921,20.68
925,20.64
929,20.57
933,20.71
937,20.7
941,20.55
945,20.31
949,20.27
953,20.02
957,20.08
961,20.19
965,20.22
969,20.2
973,20.09
977,20.12
981,20.51
985,20.35
989,20.15
993,20.07
997,19.92
1001,19.88
1005,20.07
1009,20.09
1013,20.04
1017,20.06
1021,19.82
1025,19.81
1029,20.22
1033,19.93
1037,19.87
1041,19.81
1045,19.96
1049,19.73
1053,20.09
1057,19.99
1061,19.93
1065,19.84
1069,19.72
1073,19.8
1077,19.83
1081,19.88
1085,19.71
1089,19.82
1093,19.78
1097,19.72
1101,20.12
1105,20.09
1109,19.92
1113,19.96
1117,19.81
1121,19.68
1125,19.69
1129,19.58
1133,19.46
1137,19.23
1141,18.98
1145,18.8
1149,18.88
1153,18.81
1157,18.44
1161,18
1165,17.79
1169,17.83
1173,17.85
1177,17.9
1181,17.84
1185,17.69
1189,17.56
1193,17.61
1197,17.67
1201,17.62
1205,17.55
1209,17.39
1213,17.35
1217,17.23
1221,17.38
1225,17.4
1229,17.26
1233,17.19
1237,17.14
1241,17.12
1245,17.24
1249,17.27
1253,17.24
1257,17.34
1261,17.18
1265,17.13
1269,17.81
1273,17.73
1277,17.48
1281,17.39
1285,17.28
1289,17.21
1293,17.43
1297,17.51
1301,17.32
1305,17.11
1309,16.95
1313,16.87
1317,17.39
1321,17.04
1325,16.94
1329,16.92
1333,16.73
1337,16.59
1341,16.93
1345,16.86
1349,16.69
1353,16.71
1357,16.58
1361,16.43
1365,16.64
1369,16.52
1373,16.39
1377,16.18
1381,16.07
1385,15.93
1389,16.1
1393,16.05
1397,15.95
1401,15.81
1405,15.68
1409,15.48
1413,15.94
1417,15.63
1421,15.66
1425,15.53
1429,15.38
1433,15.38
1437,15.38
1441,15.44
1445,15.24
1449,15.16
1453,15.01
1457,15
1461,15.05
1465,15.01
1469,15.12
1473,14.96
1477,14.81
1481,14.9
1485,15.37
1489,15.28
1493,15.01
1497,14.87
1501,14.8
1505,14.8
1509,14.98
1513,15.24
1517,15.03
1521,14.72
1525,14.67
1529,14.79
1533,14.96
1537,15.05
1541,15.14
1545,14.94
1549,15.06
1553,15.02
1557,15.14
1561,15.19
1565,15.07
1569,14.98
1573,14.92
1577,14.94
1581,15.17
1585,15.34
1589,15.24
1593,15.15
1597,15.02
1601,15.06
1605,15.21
1609,15.42
1613,15.21
1617,15.09
1621,15.13
1625,15.1
1629,15.27
1633,15.31
1637,15.35
1641,15.21
1645,15.28
1649,15.2
1653,15.39
1657,15.65
1661,15.28
1665,15.22
1669,15.19
1673,15.21
1677,15.17
1681,15.22
1685,15.18
1689,15.2
1693,15.19
1697,15.21
1701,15.44
1705,15.45
1709,15.23
1713,15.31
1717,15.3
1721,15.42
1725,15.38
1729,15.45
1733,15.62
1737,15.49
1741,15.59
1745,15.54
1749,15.63
1753,15.72
1757,15.61
1761,15.64
1765,15.63
1769,15.53
1773,15.65
1777,15.57
1781,15.57
1785,15.52
1789,15.5
1793,15.38
1797,15.52
1801,15.48
1805,15.37
1809,15.3
1813,15.06
1817,14.94
1821,15.28
1825,15.38
1829,15.25
1833,15.12
1837,15.03
1841,15.03
1845,15.58
1849,15.46
1853,15.23
1857,15.26
1861,15.19
1865,15.24
1869,15.39
1873,15.34
1877,15.26
1881,15.21
1885,15.08
1889,15.11
1893,15.27
1897,15.31
1901,15.25
1905,15.23
1909,15.14
1913,15.01
1917,15.32
1921,15.44
1925,15.14
1929,15.15
1933,15.03
1937,14.98
1941,15.28
1945,15.21
1949,15.14
1953,15.11
1957,15.01
1961,14.9
1965,15.32
1969,15.17
1973,15.11
1977,15.04
1981,15.03
1985,14.94
1989,15.19
1993,15.35
1997,15.19
2001,15.19
2005,15.07
2009,15.05
2013,15.29
2017,15.44
2021,15.49
2025,15.34
2029,15.42
2033,15.07
2037,15.4
2041,15.54
2045,15.15
2049,15.14
2053,14.99
2057,14.96
2061,15.19
2065,15.26
2069,15.26
2073,14.96
2077,14.9
2081,14.84
2085,15.04
2089,15.21
2093,14.93
2097,14.78
2101,14.74
2105,14.61
2109,14.86
2113,14.78
2117,14.64
2121,14.67
2125,14.54
2129,14.51
2133,14.79
2137,15.02
2141,14.79
2145,14.69
2149,14.6
2153,14.51
2157,14.74
2161,14.78
2165,14.61
2169,14.52
2173,14.35
2177,14.31
2181,14.48
2185,14.49
2189,14.23
2193,14.15
2197,14.06
2201,14.17
2205,14.23
2209,14.45
2213,14.21
2217,14.11
2221,14.13
2225,14.05
2229,14.34
2233,14.57
2237,14.29
2241,14.19
2245,14.11
2249,14.17
2253,14.32
2257,14.65
2261,14.32
2265,14.19
2269,14.18
2273,14.21
2277,14.48
2281,14.68
2285,14.36
2289,14.16
2293,14.09
2297,14.04
2301,14.33
2305,14.38
2309,14.18
2313,14.09
2317,13.94
2321,14
2325,14.22
2329,14.28
2333,14.04
2337,13.99
2341,13.96
2345,13.92
2349,14.03
2353,14.04
2357,14.02
2361,14
2365,13.88
2369,13.84
2373,14.36
2377,14.81
2381,14.31
2385,14.16
2389,14.11
2393,14.16
2397,14.52
2401,14.51
2405,14.52
2409,14.31
2413,14.22
2417,14.19
2421,14.58
2425,14.78
2429,14.35
2433,14.3
2437,14.34
2441,14.28
2445,14.54
2449,14.68
2453,14.47
2457,14.36
2461,14.26
2465,14.19
2469,14.48
2473,14.49
2477,14.43
2481,14.23
2485,14.07
2489,13.98
2493,14.19
2497,14.12
2501,14.11
2505,13.92
2509,13.99
2513,13.93
2517,14.2
2521,14.15
2525,14.07
2529,13.94
2533,13.96
2537,13.88
2541,14.04
2545,14.17
2549,14.01
2553,13.88
2557,13.83
2561,13.79
2565,13.94
2569,13.99
2573,13.88
2577,13.78
2581,13.66
2585,13.4
2589,13.39
2593,13.39
2597,12.89
2601,13.08
2605,12.93
2609,12.66
2613,12.77
2617,12.66
2621,12.69
2625,12.56
2629,12.47
2633,12.41
2637,12.63
2641,12.5
2645,12.4
2649,12.59
2653,12.34
2657,12.36
2661,12.53
2665,12.45
2669,12.42
2673,12.27
2677,12.21
2681,12.05
2685,12.19
2689,12.07
2693,11.99
2697,11.84
2701,11.61
2705,11.45
2709,11.61
2713,11.57
2717,11.48
2721,11.32
2725,11.21
2729,11.16
2733,10.9
2737,10.79
2741,10.85
2745,10.68
2749,10.5
2753,10.49
2757,10.64
2761,10.64
2765,10.66
2769,10.37
2773,10.24
2777,10.29
2781,10.59
2785,10.47
2789,10.31
2793,10.11
2797,10.17
2801,10.08
2805,10.4
2809,10.47
2813,10.3
2817,10.17
2821,10.17
2825,10.13
2829,10.4
2833,10.46
2837,10.37
2841,10.21
2845,10.17
2849,10.21
2853,10.28
2857,10.28
2861,10.24
2865,10.19
2869,10.08
2873,10
2877,10.27
2881,10.39
2885,10.3
2889,10.24
2893,10.12
2897,10.02
2901,10.24
2905,10.32
2909,10.22
2913,10.18
2917,10.09
2921,10.03
2925,10.47
2929,10.75
2933,10.44
2937,10.33
2941,10.16
2945,10.16
2949,10.51
2953,10.66
