,WS_ms_Avg,,,,
100,4.149,,,1,4.149
101,3.413,,,5,2.766
102,3.112,,,9,1.927
103,2.554,,,13,2.266
104,2.766,,,17,2.31
105,2.247,,,21,3.58
106,1.806,,,25,3.801
107,2.16,,,29,2.726
108,1.927,,,33,0.938
109,2.137,,,37,0.485
110,2.169,,,41,1.663
111,2.392,,,45,0.469
112,2.266,,,49,2.771
113,2.615,,,53,1.517
114,2.397,,,57,1.492
115,2.416,,,61,2.383
116,2.31,,,65,2.194
117,2.729,,,69,3.905
118,3.212,,,73,3.636
119,3.255,,,77,2.254
120,3.58,,,81,2.175
121,3.95,,,85,2.405
122,4.066,,,89,3.051
123,4.059,,,93,3.099
124,3.801,,,97,3.129
125,3.18,,,101,2.02
126,1.968,,,105,1.652
127,2.58,,,109,2.138
128,2.726,,,113,2.169
129,1.398,,,117,2.723
130,0.323,,,121,3.493
131,0.851,,,125,4.976
132,0.938,,,129,4.391
133,1.18,,,133,1.985
134,0.875,,,137,2.437
135,0.543,,,141,5.323
136,0.485,,,145,5.426
137,0.867,,,149,5.997
138,0.056,,,153,2.566
139,0.512,,,157,2.201
140,1.663,,,161,3.159
141,2.103,,,165,4.652
142,1.909,,,169,3.141
143,1.611,,,173,1.732
144,0.469,,,177,2.273
145,0.858,,,181,1.161
146,1.27,,,185,1.736
147,2.413,,,189,3.544
148,2.771,,,193,2.281
149,2.361,,,197,1.632
150,2.131,,,201,0.019
151,1.727,,,205,0.757
152,1.517,,,209,1.144
153,0.745,,,213,1.467
154,0.399,,,217,2.537
155,1.153,,,221,0.978
156,1.492,,,225,1.095
157,1.821,,,229,1.143
158,2.03,,,233,2.214
159,2.102,,,237,3.972
160,2.383,,,241,5.954
161,2.343,,,245,6.056
162,2.204,,,249,2.176
163,2.394,,,253,1.819
164,2.194,,,257,2.476
165,2.195,,,261,0.986
166,2.456,,,265,0.661
167,3.649,,,269,0.647
168,3.905,,,273,0.137
169,3.67,,,277,0.878
170,3.661,,,281,3.769
171,3.648,,,285,3.663
172,3.636,,,289,2.038
173,3.736,,,293,2.835
174,2.719,,,297,2.728
175,2.725,,,301,3.838
176,2.254,,,305,3.397
177,1.981,,,309,4.298
178,1.646,,,313,2.514
179,1.952,,,317,1.778
180,2.175,,,321,3.945
181,2.477,,,325,3.727
182,1.94,,,329,3.317
183,1.368,,,333,1.798
184,2.405,,,337,4.504
185,1.633,,,341,1.82
186,2.024,,,345,4.888
187,3.354,,,349,4.001
188,3.051,,,353,3.034
189,3.534,,,357,4.469
190,2.296,,,361,4.651
191,2.52,,,365,4.948
192,3.099,,,369,3.357
193,3.563,,,373,4.152
194,4.795,,,377,2.561
195,2.836,,,381,5.415
196,3.129,,,385,4.76
197,2.846,,,389,3.386
198,1.275,,,393,2.678
199,1.725,,,397,3.439
200,2.02,,,401,3.128
201,2.042,,,405,1.595
202,1.24,,,409,2.849
203,1.714,,,413,0.408
204,1.652,,,417,2.35
205,2.185,,,421,2.288
206,1.469,,,425,1.58
207,1.512,,,429,2.033
208,2.138,,,433,1.826
209,1.384,,,437,2.143
210,1.397,,,441,3.532
211,1.478,,,445,1.511
212,2.169,,,449,2.38
213,2.702,,,453,4.148
214,2.601,,,457,2.13
215,2.477,,,461,1.943
216,2.723,,,465,2.294
217,2.736,,,469,2.467
218,2.947,,,473,2.812
219,2.995,,,477,2.302
220,3.493,,,481,5.075
221,3.89,,,485,1.787
222,4.25,,,489,1.473
223,4.907,,,493,3.263
224,4.976,,,497,3.34
225,4.786,,,501,3.49
226,4.92,,,505,5.623
227,4.863,,,509,1.712
228,4.391,,,513,1.97
229,2.659,,,517,1.818
230,2.176,,,521,2.374
231,2.055,,,525,4.052
232,1.985,,,529,4.757
233,2.608,,,533,1.004
234,2.351,,,537,2.303
235,2.299,,,541,2.402
236,2.437,,,545,3.52
237,3.062,,,549,3.057
238,3.602,,,553,2.993
239,4.07,,,557,2.024
240,5.323,,,561,3.58
241,5.885,,,565,3.935
242,6.031,,,569,3.671
243,5.994,,,573,1.517
244,5.426,,,577,1.54
245,5.267,,,581,3.033
246,5.236,,,585,2.839
247,5.69,,,589,4.217
248,5.997,,,593,3.134
249,5.639,,,597,3.609
250,4.742,,,601,3.62
251,4.272,,,605,3.244
252,2.566,,,609,3.372
253,2.268,,,613,3.641
254,2.368,,,617,2.174
255,2.303,,,621,4.1
256,2.201,,,625,4.857
257,2.109,,,629,5.614
258,2.65,,,633,5.093
259,2.646,,,637,4.526
260,3.159,,,641,4.638
261,3.026,,,645,5.768
262,4.713,,,649,4.726
263,4.489,,,653,4.509
264,4.652,,,657,4.436
265,4.877,,,661,4.93
266,3.538,,,665,3.148
267,3.655,,,669,3.933
268,3.141,,,673,3.122
269,3.088,,,677,1.726
270,2.929,,,681,2.444
271,2.778,,,685,2.721
272,1.732,,,689,2.22
273,0.986,,,693,1.935
274,0.84,,,697,2.289
275,1.797,,,701,1.414
276,2.273,,,705,2.478
277,2.123,,,709,2.734
278,2.292,,,713,1.25
279,2.067,,,717,3.723
280,1.161,,,721,3.478
281,1.79,,,725,0.732
282,2.021,,,729,3.09
283,1.685,,,733,2.214
284,1.736,,,737,2.741
285,2.095,,,741,3.032
286,2.815,,,745,3.243
287,3.092,,,749,2.239
288,3.544,,,753,3.684
289,3.48,,,757,3.571
290,3.073,,,761,3.857
291,2.896,,,765,6.307
292,2.281,,,769,4.819
293,2.192,,,773,3.991
294,2.859,,,777,3.631
295,2.905,,,781,2.026
296,1.632,,,785,2.422
297,0.645,,,789,2.086
298,0.274,,,793,4.022
299,0.086,,,797,4.814
300,0.019,,,801,6.269
301,0.058,,,805,7.847
302,0.056,,,809,5.549
303,0.257,,,813,2.235
304,0.757,,,817,4.226
305,0.605,,,821,1.439
306,1.287,,,825,3.616
307,1.28,,,829,4.399
308,1.144,,,833,4.895
309,0.806,,,837,4.058
310,0.913,,,841,4.99
311,1.401,,,845,3.122
312,1.467,,,849,3.146
313,1.929,,,853,3.599
314,2.078,,,857,3.197
315,2.243,,,861,2.237
316,2.537,,,865,3.416
317,2.488,,,869,1.188
318,3.174,,,873,4.015
319,2.077,,,877,3.889
320,0.978,,,881,3.776
321,0.976,,,885,2.346
322,1.414,,,889,3.371
323,1.223,,,893,1.032
324,1.095,,,897,3.368
325,1.05,,,901,5.327
326,1.206,,,905,3.309
327,1.608,,,909,2.435
328,1.143,,,913,1.724
329,1.482,,,917,6.15
330,2.097,,,921,4.66
331,2.249,,,925,6.133
332,2.214,,,929,3.129
333,2.922,,,933,4.778
334,2.39,,,937,7.409
335,2.82,,,941,8.55
336,3.972,,,945,6.281
337,4.548,,,949,8.26
338,4.934,,,953,9.24
339,5.49,,,957,5.613
340,5.954,,,961,5.78
341,6.669,,,965,9.66
342,6.081,,,969,6.83
343,6.266,,,973,4.53
344,6.056,,,977,2.214
345,4.945,,,981,3.4
346,4.722,,,985,3.45
347,3.127,,,989,5.253
348,2.176,,,993,6.042
349,1.401,,,997,6.874
350,1.285,,,1001,5.926
351,2.299,,,1005,5.394
352,1.819,,,1009,4.348
353,1.722,,,1013,1.631
354,1.69,,,1017,2.789
355,1.968,,,1021,3.586
356,2.476,,,1025,4.148
357,3.247,,,1029,2.077
358,3.446,,,1033,3.695
359,1.132,,,1037,2.884
360,0.986,,,1041,1.535
361,0.76,,,1045,4.177
362,0.712,,,1049,3.868
