id,low,hi,m,q,cost
0,0,8,0.000581667,-0.384227,0.000766799
1,0,9,-9.51515e-05,-0.382422,0.00112697
2,0,10,-0.000728182,-0.380523,0.00162056
3,0,11,-0.000988462,-0.379655,0.00180449
4,0,12,-0.000954945,-0.379778,0.00188087
5,0,13,-0.000958022,-0.379766,0.0019519
6,0,14,-0.000936071,-0.379861,0.00202268
7,0,15,-0.000942647,-0.37983,0.00208929
8,0,16,-0.000863971,-0.380224,0.00220565
9,0,17,-0.000690093,-0.381151,0.00260105
10,0,18,-0.000518421,-0.382124,0.00308725
11,0,19,-0.000353083,-0.383116,0.00365525
12,0,20,-0.000265065,-0.383673,0.00391864
13,0,21,-0.00019345,-0.384151,0.00415287
14,0,22,-0.000565119,-0.381549,0.00893924
15,0,23,-0.000647652,-0.380944,0.00941293
16,0,24,-0.000674538,-0.380738,0.00964306
17,0,25,-0.000568547,-0.381585,0.0105042
18,0,26,-0.000470391,-0.382403,0.0113877
19,0,27,-0.000392036,-0.383083,0.0121111
20,0,28,-0.00032266,-0.383707,0.012799
21,0,29,-0.000269989,-0.384198,0.0133365
22,0,30,-0.000211935,-0.38476,0.0140068
23,0,31,-0.000162335,-0.385256,0.0146106
24,0,32,-0.0001749,-0.385126,0.0148652
25,0,33,-0.000179954,-0.385072,0.0150939
26,0,34,-0.000186667,-0.384998,0.0153248
27,0,35,-0.00018157,-0.385056,0.015549
28,0,36,-0.000184163,-0.385026,0.0157655
29,0,37,-0.000151614,-0.385416,0.0163352
30,0,38,-0.000140931,-0.385548,0.0165922
31,0,39,-0.00012833,-0.385708,0.0168714
32,0,40,-0.000145261,-0.385487,0.0172179
33,0,41,-0.000186314,-0.38494,0.0183252
34,0,42,-0.00016486,-0.385233,0.0188153
35,0,43,-0.000157519,-0.385336,0.0190683
36,0,44,-0.000171238,-0.385139,0.0194211
37,0,45,-0.000146969,-0.385495,0.0201108
38,0,46,-0.000154267,-0.385386,0.0203755
39,0,47,-0.000105194,-0.386138,0.0229478
40,0,48,-5.86939e-05,-0.386867,0.0255095
41,0,49,-2.87107e-05,-0.387347,0.0268275
42,0,50,-8.38914e-06,-0.387679,0.0276267
43,0,51,2.29232e-06,-0.387857,0.0280569
44,0,52,5.51524e-06,-0.387911,0.0283413
45,0,53,1.12102e-05,-0.38801,0.0286616
46,0,54,1.58947e-05,-0.388093,0.0289656
47,0,55,4.88243e-05,-0.388686,0.0313647
48,0,56,0.000110261,-0.389812,0.0397035
49,0,57,0.000136608,-0.390304,0.0416544
