id,low,hi,m,q,cost
0,0,8,-0.321833,28.5784,84.0645
1,0,9,-0.228121,28.3285,94.7213
2,0,10,-0.153455,28.1045,105.446
3,0,11,-0.132168,28.0336,110.883
4,0,12,-0.117253,27.9789,115.946
5,0,13,-0.139956,28.0697,122.078
6,0,14,-0.135214,28.0492,126.469
7,0,15,-0.126191,28.0071,131.133
8,0,16,-0.124583,27.999,135.191
9,0,17,-0.118989,27.9692,139.453
10,0,18,-0.108842,27.9117,144.724
11,0,19,-0.0890376,27.7929,155.482
12,0,20,-0.0743896,27.7001,164.117
13,0,21,-0.060847,27.6098,173.057
14,0,22,-0.0454249,27.5018,185.027
15,0,23,-0.0407957,27.4679,189.892
16,0,24,-0.0387538,27.4522,194.015
17,0,25,-0.0365607,27.4347,198.145
18,0,26,-0.0294505,27.3754,205.505
19,0,27,-0.033295,27.4088,210.514
20,0,28,-0.0327882,27.4042,214.266
21,0,29,-0.037584,27.449,220.571
22,0,30,-0.0390444,27.4631,224.502
23,0,31,-0.0404234,27.4769,228.388
24,0,32,-0.040869,27.4815,231.964
25,0,33,-0.0416898,27.4902,235.59
26,0,34,-0.0374174,27.4432,243.27
27,0,35,-0.036668,27.4347,246.869
28,0,36,-0.0419369,27.4962,258.584
29,0,37,-0.0417934,27.4945,262.062
30,0,38,-0.0479717,27.5707,280.012
31,0,39,-0.0576295,27.693,323.406
32,0,40,-0.0642422,27.779,348.317
33,0,41,-0.0710364,27.8696,377.152
34,0,42,-0.074322,27.9145,388.021
35,0,43,-0.0797118,27.9899,411.648
36,0,44,-0.0870817,28.0956,455.938
37,0,45,-0.0822997,28.0254,479.418
38,0,46,-0.0823786,28.0266,484.607
39,0,47,-0.0846613,28.0616,494.835
40,0,48,-0.086199,28.0857,502.504
41,0,49,-0.086533,28.0911,507.737
42,0,50,-0.0828326,28.0306,530.438
43,0,51,-0.0879403,28.1157,572.34
44,0,52,-0.0964578,28.2605,689.17
45,0,53,-0.102475,28.3648,756.127
46,0,54,-0.107386,28.4516,806.9
47,0,55,-0.111362,28.5232,845.36
48,0,56,-0.111012,28.5168,853.137
49,0,57,-0.111133,28.519,860.622
50,0,58,-0.112359,28.5423,871.762
51,0,59,-0.115003,28.5934,897.965
52,0,60,-0.119451,28.6809,962.864
53,0,61,-0.123436,28.7606,1020.39
54,0,62,-0.126885,28.8307,1068.57
55,0,63,-0.130154,28.8983,1115.62
56,0,64,-0.134851,28.9969,1209.77
57,0,65,-0.1402,29.111,1337.78
58,0,66,-0.141711,29.1438,1358.03
59,0,67,-0.14194,29.1488,1368.38
60,0,68,-0.14303,29.1732,1384.43
61,0,69,-0.143517,29.1842,1395.71
62,0,70,-0.142658,29.1644,1409.91
63,0,71,-0.14303,29.1731,1420.66
64,0,72,-0.142625,29.1635,1431.57
65,0,73,-0.140432,29.1109,1474.85
66,0,74,-0.141073,29.1265,1487.82
67,0,75,-0.139593,29.09,1514.95
68,0,76,-0.136327,29.0083,1613.88
69,0,77,-0.133611,28.9395,1689.56
70,0,78,-0.13266,28.9151,1708.84
71,0,79,-0.132572,28.9128,1719.69
72,0,80,-0.132289,28.9054,1731.25
73,0,81,-0.131663,28.8887,1746.25
74,0,82,-0.131571,28.8862,1756.96
75,0,83,-0.132256,28.9049,1773.33
76,0,84,-0.131194,28.8755,1798.59
77,0,85,-0.129553,28.8296,1846.18
78,0,86,-0.127804,28.78,1901.25
79,0,87,-0.126602,28.7456,1934.21
80,0,88,-0.125669,28.7185,1959.15
81,0,89,-0.124632,28.6881,1988.32
82,0,90,-0.123751,28.662,2013.11
83,0,91,-0.123464,28.6534,2025.68
84,0,92,-0.123186,28.6449,2038.18
85,0,93,-0.122016,28.6091,2077.27
86,0,94,-0.121252,28.5854,2100.88
87,0,95,-0.121514,28.5936,2113.46
88,0,96,-0.121444,28.5914,2124.55
89,0,97,-0.121086,28.5799,2138.66
90,0,98,-0.120258,28.5531,2167.38
91,0,99,-0.120048,28.5463,2179.49
92,0,100,-0.120107,28.5482,2190.46
93,0,101,-0.119826,28.5389,2203.64
94,0,102,-0.119096,28.5143,2230.99
95,0,103,-0.11565,28.3971,2627.83
96,0,104,-0.114021,28.3412,2730.41
97,0,105,-0.112693,28.2952,2805.88
98,0,106,-0.111447,28.2515,2876.49
99,0,107,-0.110874,28.2313,2902.53
100,0,108,-0.110732,28.2263,2916.74
101,0,109,-0.110151,28.2053,2944.26
102,0,110,-0.109228,28.1718,2994.73
103,0,111,-0.107558,28.1106,3134.88
104,0,112,-0.108049,28.1287,3160.24
105,0,113,-0.108452,28.1437,3182.16
106,0,114,-0.107435,28.1055,3248.97
107,0,115,-0.107436,28.1055,3263.06
108,0,116,-0.108336,28.14,3322.01
109,0,117,-0.109407,28.1814,3402.04
110,0,118,-0.110937,28.2411,3556.27
111,0,119,-0.111936,28.2804,3633.2
112,0,120,-0.112558,28.305,3673.15
113,0,121,-0.112892,28.3184,3695.76
114,0,122,-0.113287,28.3343,3721.73
115,0,123,-0.114162,28.3699,3791.9
116,0,124,-0.114316,28.3762,3808.92
117,0,125,-0.114633,28.3893,3831.92
118,0,126,-0.114683,28.3914,3847.3
119,0,127,-0.114395,28.3793,3869.32
120,0,128,-0.114279,28.3744,3885.55
121,0,129,-0.113917,28.359,3912.26
122,0,130,-0.113438,28.3384,3948.42
123,0,131,-0.113257,28.3305,3966.62
124,0,132,-0.113011,28.3198,3987.57
125,0,133,-0.112371,28.2916,4044.41
126,0,134,-0.111575,28.2563,4126.4
127,0,135,-0.111292,28.2437,4150.35
128,0,136,-0.110781,28.2207,4195.12
129,0,137,-0.109997,28.1851,4282.08
130,0,138,-0.109178,28.1478,4378.27
131,0,139,-0.108249,28.105,4501.51
132,0,140,-0.107254,28.0589,4644.76
133,0,141,-0.106207,28.0101,4806.69
134,0,142,-0.105213,27.9633,4958.89
135,0,143,-0.104135,27.9123,5140.5
136,0,144,-0.102927,27.8547,5371.19
137,0,145,-0.101699,27.7958,5616.19
138,0,146,-0.100416,27.7338,5890.74
139,0,147,-0.0989695,27.6634,6245.52
140,0,148,-0.0976584,27.5991,6550.02
141,0,149,-0.09703,27.5681,6639.05
142,0,150,-0.0964167,27.5377,6727.03
143,0,151,-0.0957584,27.5048,6827.42
144,0,152,-0.0955801,27.4958,6855.75
145,0,153,-0.0951759,27.4753,6909.38
146,0,154,-0.0947338,27.4528,6970.29
147,0,155,-0.0943024,27.4306,7030.49
148,0,156,-0.0937145,27.4002,7125.14
149,0,157,-0.0930307,27.3647,7248.24
150,0,158,-0.0922042,27.3214,7422.12
151,0,159,-0.0908768,27.2515,7846.08
152,0,160,-0.0893703,27.1717,8401.33
153,0,161,-0.0876441,27.0796,9143.99
154,0,162,-0.0860553,26.9943,9796.35
155,0,163,-0.0839394,26.8801,10964.3
156,0,164,-0.0819732,26.7733,12007.8
157,0,165,-0.0796914,26.6485,13441.9
158,0,166,-0.0779249,26.5514,14343.1
159,0,167,-0.0760965,26.4502,15333.4
160,0,168,-0.0746275,26.3684,16007
161,0,169,-0.0734957,26.305,16437.3
162,0,170,-0.0722147,26.2329,16989.2
163,0,171,-0.0710037,26.1642,17500.9
164,0,172,-0.069836,26.0977,17992.8
165,0,173,-0.0684835,26.0201,18652
166,0,174,-0.0672687,25.9501,19208.3
167,0,175,-0.0659663,25.8746,19856.1
168,0,176,-0.0646055,25.7952,20576.5
169,0,177,-0.0630162,25.7019,21563.7
170,0,178,-0.0612164,25.5957,22846.2
171,0,179,-0.0594462,25.4907,24122.2
172,0,180,-0.0580037,25.4046,25014.4
173,0,181,-0.0569167,25.3394,25563.9
174,0,182,-0.0557853,25.2712,26167.6
175,0,183,-0.0544074,25.1876,27050.1
176,0,184,-0.0525585,25.0748,28620
177,0,185,-0.0509803,24.978,29814.3
178,0,186,-0.0498634,24.9091,30467.6
179,0,187,-0.0489676,24.8536,30926.7
180,0,188,-0.0481384,24.8019,31340.3
181,0,189,-0.0473091,24.7499,31762.7
182,0,190,-0.046573,24.7035,32120.1
183,0,191,-0.0457615,24.6521,32544.9
184,0,192,-0.0448154,24.5919,33103.9
185,0,193,-0.0437262,24.5222,33833
186,1,9,-0.183833,28.0481,88.566
187,1,10,-0.103091,27.752,97.8923
188,1,11,-0.0870909,27.688,102.95
189,1,12,-0.0772028,27.6452,107.69
190,1,13,-0.10956,27.7962,114.606
191,1,14,-0.108484,27.7908,118.936
192,1,15,-0.101821,27.7552,123.32
193,1,16,-0.103059,27.7623,127.374
194,1,17,-0.0993382,27.7399,131.41
195,1,18,-0.0902477,27.6824,136.126
196,1,19,-0.0703158,27.5495,145.449
197,1,20,-0.0560752,27.4498,152.847
198,1,21,-0.042987,27.3538,160.449
199,1,22,-0.0277866,27.2373,170.623
200,1,23,-0.0242885,27.2093,174.873
201,1,24,-0.0234522,27.2023,178.663
202,1,25,-0.0223077,27.1924,182.413
203,1,26,-0.015747,27.1334,188.593
204,1,27,-0.0208913,27.1814,194.063
205,1,28,-0.0212343,27.1847,197.634
206,1,29,-0.0271576,27.2439,204.584
207,1,30,-0.0294105,27.2672,208.664
208,1,31,-0.0315,27.2895,212.696
209,1,32,-0.0325312,27.3008,216.264
210,1,33,-0.0339071,27.3164,219.953
211,1,34,-0.0298411,27.269,226.626
212,1,35,-0.0294818,27.2647,229.964
213,1,36,-0.0354427,27.3382,242.614
214,1,37,-0.0356425,27.3407,245.972
215,1,38,-0.0424696,27.4295,265.029
216,1,39,-0.0529049,27.5686,309.926
217,1,40,-0.0600844,27.6667,335.884
218,1,41,-0.0674129,27.7693,365.718
219,1,42,-0.0710275,27.8211,377.117
220,1,43,-0.0768212,27.9061,401.501
221,1,44,-0.0846575,28.0237,446.603
222,1,45,-0.0797708,27.9487,469.077
223,1,46,-0.079963,27.9517,474.29
224,1,47,-0.0824457,27.9915,484.899
225,1,48,-0.0841397,28.0191,492.839
226,1,49,-0.0845714,28.0263,498.147
227,1,50,-0.0808014,27.9622,519.947
228,1,51,-0.0861891,28.0556,562.535
229,1,52,-0.0951016,28.2131,679.841
230,1,53,-0.101397,28.3264,747.169
231,1,54,-0.10653,28.4205,798.212
232,1,55,-0.110682,28.498,836.874
233,1,56,-0.110343,28.4916,844.674
234,1,57,-0.110492,28.4944,852.23
235,1,58,-0.111782,28.5198,863.52
236,1,59,-0.114536,28.5749,889.867
237,1,60,-0.119147,28.6686,954.673
238,1,61,-0.123273,28.7539,1012.04
239,1,62,-0.126838,28.8288,1060.05
240,1,63,-0.130213,28.9008,1106.86
241,1,64,-0.135055,29.0057,1200.27
242,1,65,-0.140562,29.1268,1327.06
243,1,66,-0.142108,29.1614,1347.16
244,1,67,-0.142332,29.1665,1357.55
245,1,68,-0.143442,29.192,1373.5
246,1,69,-0.143932,29.2034,1384.78
247,1,70,-0.143036,29.1822,1399.13
248,1,71,-0.143408,29.1911,1409.88
249,1,72,-0.142981,29.1807,1420.9
250,1,73,-0.140719,29.1249,1464.28
251,1,74,-0.141369,29.1412,1477.22
252,1,75,-0.139841,29.1025,1504.46
253,1,76,-0.136483,29.0163,1603.16
254,1,77,-0.133693,28.9438,1678.63
255,1,78,-0.132715,28.918,1697.96
256,1,79,-0.132623,28.9156,1708.89
257,1,80,-0.132332,28.9077,1720.51
258,1,81,-0.13169,28.8902,1735.56
259,1,82,-0.131594,28.8875,1746.34
260,1,83,-0.132296,28.9071,1762.73
261,1,84,-0.131207,28.8763,1787.98
262,1,85,-0.129527,28.8282,1835.41
263,1,86,-0.127738,28.7763,1890.23
264,1,87,-0.12651,28.7402,1923.06
265,1,88,-0.125558,28.712,1947.92
266,1,89,-0.1245,28.6803,1976.95
267,1,90,-0.123603,28.653,2001.63
268,1,91,-0.123313,28.6441,2014.22
269,1,92,-0.123032,28.6354,2026.73
270,1,93,-0.12184,28.5981,2065.56
271,1,94,-0.121064,28.5735,2089.03
272,1,95,-0.121335,28.5822,2101.7
273,1,96,-0.121267,28.58,2112.84
274,1,97,-0.120905,28.5682,2126.91
275,1,98,-0.120064,28.5404,2155.44
276,1,99,-0.119854,28.5334,2167.55
277,1,100,-0.119918,28.5356,2178.58
278,1,101,-0.119635,28.526,2191.73
279,1,102,-0.118895,28.5005,2218.88
280,1,103,-0.115385,28.3789,2612.91
281,1,104,-0.113731,28.321,2714.53
282,1,105,-0.112383,28.2733,2789.22
283,1,106,-0.111119,28.2282,2859.06
284,1,107,-0.110542,28.2075,2884.82
285,1,108,-0.110403,28.2024,2899
286,1,109,-0.109817,28.181,2926.2
287,1,110,-0.108884,28.1464,2976.06
288,1,111,-0.10719,28.0832,3114.72
289,1,112,-0.107696,28.1023,3140.36
290,1,113,-0.108112,28.1181,3162.52
291,1,114,-0.107084,28.0786,3228.51
292,1,115,-0.10709,28.0789,3242.65
293,1,116,-0.108013,28.1149,3302
294,1,117,-0.109107,28.1579,3382.44
295,1,118,-0.110668,28.2198,3536.99
