id,low,hi,m,q,cost
0,0,8,-0.719833,36.7338,134.205
1,0,9,-0.345394,35.7353,239.005
2,0,10,-0.245909,35.4368,261.503
3,0,11,-0.252517,35.4588,273.203
4,0,12,-0.166099,35.142,302.328
5,0,13,-0.116176,34.9423,322.227
6,0,14,-0.105571,34.8963,334.065
7,0,15,-0.103426,34.8863,345.05
8,0,16,-0.106985,34.9041,355.776
9,0,17,-0.116553,34.9551,367.094
10,0,18,-0.104035,34.8842,379.359
11,0,19,-0.136,35.076,407.447
12,0,20,-0.163221,35.2484,434.068
13,0,21,-0.152439,35.1765,447.501
14,0,22,-0.136057,35.0618,466.676
15,0,23,-0.148283,35.1515,482.888
16,0,24,-0.149231,35.1588,492.89
17,0,25,-0.133231,35.0308,517.924
18,0,26,-0.115507,34.8831,550.071
19,0,27,-0.113766,34.868,560.419
20,0,28,-0.0979212,34.7254,595.039
21,0,29,-0.106925,34.8094,614.526
22,0,30,-0.113649,34.8744,630.719
23,0,31,-0.1286,35.0239,675.304
24,0,32,-0.136186,35.1023,695.998
25,0,33,-0.134009,35.0791,707.429
26,0,34,-0.128403,35.0174,725.058
27,0,35,-0.123463,34.9614,741.79
28,0,36,-0.131003,35.0494,769.038
29,0,37,-0.12502,34.9776,791.459
30,0,38,-0.1292,35.0292,808.454
31,0,39,-0.131836,35.0625,821.719
32,0,40,-0.132216,35.0675,831.996
33,0,41,-0.131939,35.0638,842.122
34,0,42,-0.128458,35.0162,859.279
35,0,43,-0.136042,35.1224,907.104
36,0,44,-0.149307,35.3125,1045.77
37,0,45,-0.143323,35.2248,1086.21
38,0,46,-0.147477,35.2871,1113.3
39,0,47,-0.143563,35.2271,1140.07
40,0,48,-0.140908,35.1855,1159.46
41,0,49,-0.146322,35.2721,1205.76
42,0,50,-0.138191,35.1393,1302.98
43,0,51,-0.147251,35.2903,1431.24
44,0,52,-0.15795,35.4722,1620.63
45,0,53,-0.162254,35.5468,1666.8
46,0,54,-0.168595,35.6588,1755.18
47,0,55,-0.170392,35.6911,1777.43
48,0,56,-0.167723,35.6422,1808.45
49,0,57,-0.164763,35.587,1844.48
50,0,58,-0.16168,35.5284,1884.06
51,0,59,-0.161662,35.528,1899.96
52,0,60,-0.161961,35.5339,1915.99
53,0,61,-0.166699,35.6287,2001.81
54,0,62,-0.169665,35.689,2047.48
55,0,63,-0.169766,35.6911,2063.7
56,0,64,-0.175173,35.8046,2193.01
57,0,65,-0.185076,36.0159,2616.91
58,0,66,-0.182838,35.9674,2658.92
59,0,67,-0.180622,35.9186,2702.02
60,0,68,-0.182655,35.964,2742.79
61,0,69,-0.18524,36.0226,2798.8
