id,low,hi,m,q,cost
0,0,8,-0.0790663,24.0781,7.48803
1,0,9,-0.0705911,24.0555,7.94305
2,0,10,-0.0497836,23.9931,8.8046
3,0,11,-0.0438227,23.9732,9.25477
4,0,12,-0.0356822,23.9434,9.79212
5,0,13,-0.0315524,23.9268,10.2198
6,0,14,-0.0399082,23.963,10.9066
7,0,15,-0.0338265,23.9347,11.4991
8,0,16,-0.0658967,24.095,20.5038
9,0,17,-0.0595183,24.061,21.5443
10,0,18,-0.0540908,24.0302,22.5494
11,0,19,-0.0494567,24.0024,23.5184
12,0,20,-0.0454595,23.9771,24.4562
13,0,21,-0.0371188,23.9215,26.958
14,0,22,-0.0293157,23.8669,29.6325
15,0,23,-0.0242594,23.8298,31.326
16,0,24,-0.0199389,23.7967,32.9022
17,0,25,-0.0154582,23.7608,34.7516
18,0,26,-0.010421,23.7189,37.2133
19,0,27,-0.00611776,23.6816,39.4476
20,0,28,-0.00339167,23.657,40.877
21,0,29,-0.00294768,23.6529,41.5985
22,0,30,-0.00346769,23.6579,42.3222
23,0,31,-0.0043026,23.6663,43.107
24,0,32,-0.00555655,23.6792,44.0546
25,0,33,-0.00678429,23.6923,45.0239
26,0,34,-0.00759372,23.7012,45.8335
27,0,35,-0.00799948,23.7058,46.5271
28,0,36,-0.00901707,23.7177,47.4789
29,0,37,-0.0101303,23.7311,48.5351
30,0,38,-0.0141198,23.7803,55.2256
31,0,39,-0.0189049,23.8409,65.7058
32,0,40,-0.0236924,23.9031,77.4734
33,0,41,-0.0286856,23.9697,91.7064
34,0,42,-0.0337714,24.0392,108.141
35,0,43,-0.038908,24.1111,126.776
36,0,44,-0.0444456,24.1905,150.587
37,0,45,-0.0490566,24.2581,169.399
38,0,46,-0.053445,24.3239,188.357
39,0,47,-0.0573073,24.3832,204.948
40,0,48,-0.0607714,24.4374,219.969
41,0,49,-0.0639146,24.4877,233.84
42,0,50,-0.066391,24.5282,244.072
43,0,51,-0.0689506,24.5708,255.675
44,0,52,-0.0727784,24.6359,280.611
45,0,53,-0.0780902,24.728,330.389
46,0,54,-0.0831297,24.817,379.553
47,0,55,-0.0880141,24.9049,430.003
48,0,56,-0.0924656,24.9865,476.14
49,0,57,-0.0958811,25.0503,507.255
50,0,58,-0.0989248,25.1081,534.742
51,0,59,-0.102074,25.169,565.983
52,0,60,-0.105112,25.2287,597.481
53,0,61,-0.108234,25.2912,632.842
54,0,62,-0.11157,25.359,675.343
55,0,63,-0.114934,25.4285,721.547
56,0,64,-0.118305,25.4993,771.181
57,0,65,-0.121647,25.5706,823.461
58,0,66,-0.124526,25.633,866.494
59,0,67,-0.127037,25.6882,902.904
60,0,68,-0.129323,25.7393,936.058
61,0,69,-0.130991,25.7771,957.902
62,0,70,-0.132343,25.8082,975.277
63,0,71,-0.133371,25.8322,988.631
64,0,72,-0.134148,25.8506,999.423
65,0,73,-0.134494,25.8589,1007.08
66,0,74,-0.1349,25.8688,1015.08
67,0,75,-0.134999,25.8712,1021.9
68,0,76,-0.134868,25.8679,1028.75
69,0,77,-0.134441,25.8571,1037.02
70,0,78,-0.133922,25.8438,1046.17
71,0,79,-0.133424,25.8309,1055.23
72,0,80,-0.133017,25.8201,1063.55
73,0,81,-0.132515,25.8067,1072.88
74,0,82,-0.131965,25.7919,1082.95
75,0,83,-0.131393,25.7762,1093.51
76,0,84,-0.130732,25.758,1105.69
77,0,85,-0.130099,25.7403,1117.69
78,0,86,-0.129431,25.7213,1130.64
79,0,87,-0.128638,25.6986,1146.74
80,0,88,-0.127705,25.6715,1167.2
81,0,89,-0.126674,25.6413,1191.71
82,0,90,-0.125668,25.6114,1216.31
83,0,91,-0.124851,25.5869,1235.42
84,0,92,-0.124179,25.5665,1250.99
85,0,93,-0.123453,25.5443,1268.54
86,0,94,-0.122725,25.5217,1286.71
87,0,95,-0.122164,25.5041,1300.59
88,0,96,-0.121625,25.4871,1314.22
89,0,97,-0.121041,25.4684,1329.47
90,0,98,-0.120393,25.4474,1347.14
91,0,99,-0.119693,25.4246,1367.26
92,0,100,-0.119045,25.4032,1386.06
93,0,101,-0.118426,25.3825,1404.31
94,0,102,-0.117844,25.3629,1421.71
95,0,103,-0.117018,25.3349,1450.73
96,0,104,-0.116181,25.3061,1481.48
97,0,105,-0.115303,25.2757,1515.82
98,0,106,-0.11442,25.2448,1551.77
99,0,107,-0.113545,25.2139,1588.55
100,0,108,-0.112765,25.1861,1620.31
101,0,109,-0.112027,25.1595,1650.54
102,0,110,-0.111291,25.1327,1681.66
103,0,111,-0.110605,25.1076,1710.61
104,0,112,-0.110121,25.0897,1729.3
105,0,113,-0.109897,25.0813,1739.41
106,0,114,-0.109761,25.0762,1747.96
107,0,115,-0.109617,25.0707,1756.65
108,0,116,-0.109576,25.0691,1764.3
109,0,117,-0.109711,25.0744,1772.88
110,0,118,-0.110028,25.0867,1786.39
111,0,119,-0.110462,25.1038,1805.55
112,0,120,-0.110914,25.1217,1826.21
113,0,121,-0.11134,25.1388,1845.87
114,0,122,-0.111706,25.1535,1862.72
115,0,123,-0.112029,25.1667,1877.77
116,0,124,-0.1123,25.1778,1890.83
117,0,125,-0.112519,25.1869,1902.09
118,0,126,-0.112626,25.1913,1910.53
119,0,127,-0.112662,25.1928,1918.15
120,0,128,-0.112587,25.1896,1926.11
121,0,129,-0.112459,25.1842,1935.01
122,0,130,-0.112349,25.1795,1943.55
123,0,131,-0.112209,25.1734,1952.84
124,0,132,-0.111958,25.1624,1966.43
125,0,133,-0.111616,25.1473,1985.8
126,0,134,-0.111204,25.1291,2011.04
127,0,135,-0.110816,25.1118,2034.96
128,0,136,-0.110426,25.0942,2059.6
129,0,137,-0.109974,25.0737,2090.95
130,0,138,-0.10945,25.0498,2131.5
131,0,139,-0.108871,25.0232,2180.95
132,0,140,-0.1082,24.9921,2246.51
133,0,141,-0.107419,24.9556,2335.57
134,0,142,-0.106572,24.9158,2441.85
135,0,143,-0.105662,24.8728,2567.38
136,0,144,-0.104697,24.8268,2712.14
137,0,145,-0.103674,24.7776,2879.07
138,0,146,-0.102546,24.7231,3086.24
139,0,147,-0.101416,24.6681,3300.75
140,0,148,-0.100238,24.6104,3540.9
141,0,149,-0.0991273,24.5556,3762.22
142,0,150,-0.0980987,24.5045,3960
143,0,151,-0.0971475,24.457,4136.32
144,0,152,-0.096289,24.4138,4286.86
145,0,153,-0.0955505,24.3763,4405.19
146,0,154,-0.0948463,24.3404,4517.17
