id,low,hi,m,q,cost
0,0,8,-0.181167,11.2869,29.7368
1,0,9,-0.143333,11.186,32.3412
2,0,10,-0.116182,11.1045,34.7266
3,0,11,-0.121434,11.1221,36.3162
4,0,12,-0.121264,11.1214,37.7992
5,0,13,-0.111121,11.0809,39.5764
6,0,14,-0.0975,11.0218,41.8373
7,0,15,-0.0846912,10.9621,44.2506
8,0,16,-0.076201,10.9196,46.2188
9,0,17,-0.072064,10.8975,47.7464
10,0,18,-0.0727018,10.9012,49.0605
11,0,19,-0.0766992,10.9251,50.6202
12,0,20,-0.0815195,10.9557,52.3895
13,0,21,-0.0833427,10.9678,53.7144
14,0,22,-0.0908893,11.0207,56.8564
15,0,23,-0.0913913,11.0243,58.0897
16,0,24,-0.0916769,11.0265,59.2916
17,0,25,-0.0872718,10.9913,61.6235
18,0,26,-0.0815751,10.9438,65.0991
19,0,27,-0.0775205,10.9087,67.6711
20,0,28,-0.0773005,10.9067,68.8737
21,0,29,-0.0737197,10.8733,71.5243
22,0,30,-0.0698589,10.8359,74.6962
23,0,31,-0.0678152,10.8155,76.5359
24,0,32,-0.0670956,10.8081,77.8146
25,0,33,-0.0669641,10.8067,78.9883
26,0,34,-0.0651541,10.7868,80.9026
27,0,35,-0.06239,10.7554,84.0686
28,0,36,-0.0620033,10.7509,85.273
29,0,37,-0.0600066,10.727,87.7654
30,0,38,-0.0556862,10.6737,96.0146
31,0,39,-0.0522542,10.6302,102.267
32,0,40,-0.0491185,10.5894,108.236
33,0,41,-0.0483729,10.5795,109.844
34,0,42,-0.0474147,10.5664,111.689
35,0,43,-0.0464982,10.5536,113.534
36,0,44,-0.0498538,10.6017,123.034
37,0,45,-0.0483225,10.5792,126.284
38,0,46,-0.0479938,10.5743,127.745
39,0,47,-0.0469442,10.5582,130.175
40,0,48,-0.0458051,10.5403,132.919
41,0,49,-0.0488166,10.5885,144.952
42,0,50,-0.0470919,10.5604,150.228
43,0,51,-0.0493162,10.5974,158.658
44,0,52,-0.0476034,10.5683,164.68
45,0,53,-0.0451091,10.5251,176.621
46,0,54,-0.0443478,10.5116,179.301
47,0,55,-0.0443337,10.5114,180.924
48,0,56,-0.0435146,10.4964,183.965
49,0,57,-0.041877,10.4658,191.769
50,0,58,-0.0408548,10.4464,196.024
51,0,59,-0.0392088,10.4145,204.979
52,0,60,-0.037927,10.3893,211.453
53,0,61,-0.0362001,10.3548,222.504
54,0,62,-0.0346084,10.3224,232.809
55,0,63,-0.0338037,10.3058,236.987
56,0,64,-0.0350742,10.3325,245.084
57,0,65,-0.0371945,10.3777,265.625
58,0,66,-0.036948,10.3724,267.899
59,0,67,-0.0362535,10.3571,272.184
60,0,68,-0.0360819,10.3533,274.327
61,0,69,-0.0373816,10.3827,285.463
62,0,70,-0.0372537,10.3798,287.59
63,0,71,-0.0373253,10.3815,289.64
64,0,72,-0.0380407,10.3984,294.998
65,0,73,-0.0372638,10.3797,301.218
66,0,74,-0.0382188,10.403,310.001
67,0,75,-0.0382809,10.4045,312.092
68,0,76,-0.0384858,10.4096,314.489
69,0,77,-0.038931,10.4209,318.278
70,0,78,-0.0387614,10.4166,320.581
71,0,79,-0.0377747,10.3909,332.262
72,0,80,-0.0367259,10.3633,345.876
73,0,81,-0.035746,10.3372,358.657
74,0,82,-0.0347442,10.3101,372.597
75,0,83,-0.0344378,10.3017,375.996
76,0,84,-0.0338378,10.2851,382.927
77,0,85,-0.0326982,10.2532,403.045
78,0,86,-0.0316959,10.2248,419.946
79,0,87,-0.0308435,10.2004,433.448
80,0,88,-0.030174,10.181,443.108
81,0,89,-0.0294014,10.1583,455.679
82,0,90,-0.028586,10.1341,470.02
83,0,91,-0.0277184,10.1081,486.649
84,0,92,-0.0269689,10.0854,500.3
85,0,93,-0.026322,10.0655,511.592
86,0,94,-0.0256847,10.0458,523.074
87,0,95,-0.0251729,10.0297,531.748
88,0,96,-0.0247015,10.0148,539.781
89,0,97,-0.0242307,9.99973,548.063
90,0,98,-0.0238217,9.9865,555.203
91,0,99,-0.0231612,9.96493,569.875
92,0,100,-0.0223568,9.93838,591.141
93,0,101,-0.0216145,9.91364,610.46
94,0,102,-0.0217758,9.91907,614.255
95,0,103,-0.0213946,9.90611,621.953
96,0,104,-0.0206782,9.88151,642.353
97,0,105,-0.0200435,9.85951,659.671
98,0,106,-0.0194023,9.83707,677.973
99,0,107,-0.0187504,9.81403,697.513
100,0,108,-0.0181444,9.79242,715.491
101,0,109,-0.0175275,9.77021,734.7
102,0,110,-0.0170363,9.75237,748.559
103,0,111,-0.0163163,9.72597,775.471
104,0,112,-0.0156216,9.70026,801.745
105,0,113,-0.0149146,9.67387,829.888
106,0,114,-0.0144259,9.65546,845.742
107,0,115,-0.0140353,9.64062,857.533
108,0,116,-0.0134323,9.6175,881.342
109,0,117,-0.0129349,9.59827,899.327
110,0,118,-0.0135286,9.62142,924.185
111,0,119,-0.0134342,9.61771,928.613
112,0,120,-0.0130178,9.60119,943.641
113,0,121,-0.0124405,9.5781,969.816
114,0,122,-0.011945,9.55811,990.815
