id,low,hi,m,q,costQRMSEn
0,0,8,-0.181167,11.2869,29.7368
1638,9,17,-0.0265,10.3523,1.38906
2513,17,22,-0.2055,13.1946,0.645022
4025,23,31,0.0228333,8.49239,1.34642
5456,32,40,0.104167,5.29778,1.25494
6808,41,51,-0.0987,12.8841,16.0085
8349,52,63,0.0273077,7.24231,4.40838
9889,64,73,0.0530061,3.97188,12.2591
11063,74,82,0.24005,-10.9402,2.38965
12035,83,91,0.0757667,1.89841,1.6889
12735,91,94,-0.0548333,13.6666,0.0760617
13020,94,101,0.0631667,2.46061,1.04806
13821,102,110,0.132767,-5.33427,3.7639
14388,110,117,0.0141667,7.59139,1.28674
15045,118,126,0.285233,-25.8308,8.35347
15561,126,134,0.124833,-6.46722,29.3709
16065,135,143,-0.0180667,10.9708,4.24293
16356,143,149,-0.0279,12.8382,11.4541
16726,150,159,-0.0133333,12.36,2.43095
17040,160,168,0.119833,-9.35044,1.46806
17238,169,177,0.129167,-11.8381,5.45674
17325,177,183,0.0503333,2.02256,0.268647
17389,184,193,0.119636,-11.1895,4.45675
