id,low,hi,m,q,cost
0,0,8,0.133698,1.26163,0.703081
1,0,9,0.10788,1.33047,1.20485
2,0,10,0.0939773,1.37218,1.47521
3,0,11,0.0812889,1.41448,1.80664
4,0,12,0.0709823,1.45227,2.13601
5,0,13,0.0567823,1.50907,2.9032
6,0,14,0.0454284,1.55827,3.61088
7,0,15,0.036197,1.60135,4.27016
8,0,16,0.0311494,1.62659,4.61588
9,0,17,0.0257978,1.65513,5.06368
10,0,18,0.0241237,1.66462,5.24189
11,0,19,0.0272367,1.64594,5.551
12,0,20,0.0305295,1.62508,5.93038
13,0,21,0.032026,1.61511,6.13195
14,0,22,0.0329007,1.60898,6.29576
15,0,23,0.0323276,1.61319,6.44474
16,0,24,0.0319574,1.61602,6.58446
17,0,25,0.030654,1.62645,6.81621
18,0,26,0.028649,1.64316,7.23119
19,0,27,0.0267161,1.65991,7.67691
20,0,28,0.0237606,1.68651,8.67222
21,0,29,0.0221571,1.70148,9.11589
22,0,30,0.0209781,1.71287,9.4521
23,0,31,0.0196791,1.72586,9.86377
24,0,32,0.0183038,1.74008,10.3526
25,0,33,0.0171725,1.75214,10.7688
26,0,34,0.016725,1.75707,10.9726
27,0,35,0.0159989,1.76529,11.2675
28,0,36,0.0147099,1.78033,11.9202
29,0,37,0.0110183,1.82463,16.6868
30,0,38,0.00663979,1.87863,24.1994
31,0,39,0.00471341,1.90303,26.0922
32,0,40,0.00296407,1.92578,27.8785
33,0,41,0.00196855,1.93905,28.7449
34,0,42,0.000645749,1.95713,30.1235
35,0,43,-0.000522558,1.97348,31.3711
36,0,44,-0.00103541,1.98083,31.9175
37,0,45,-0.000968703,1.97986,32.2738
38,0,46,-0.000925412,1.97921,32.6243
39,0,47,-0.00123312,1.98392,33.0622
40,0,48,-0.00183064,1.99329,33.7886
41,0,49,-0.00228162,2.0005,34.3712
42,0,50,-0.00281784,2.00926,35.0838
43,0,51,-0.00376994,2.02513,36.7022
44,0,52,-0.00576551,2.05905,43.1659
45,0,53,-0.00708054,2.08185,46.4605
46,0,54,-0.00774534,2.09359,47.6913
47,0,55,-0.00892366,2.1148,50.859
48,0,56,-0.00923309,2.12047,51.5156
49,0,57,-0.00921926,2.12022,51.966
50,0,58,-0.00960201,2.12749,52.7779
51,0,59,-0.0104372,2.14363,55.1029
52,0,60,-0.0108218,2.1512,55.9899
53,0,61,-0.0115519,2.1658,58.1135
54,0,62,-0.0123392,2.18181,60.6646
55,0,63,-0.0127839,2.191,61.8582
56,0,64,-0.0129648,2.1948,62.4663
57,0,65,-0.0130868,2.1974,63.0068
58,0,66,-0.0133264,2.20259,63.7375
59,0,67,-0.0132365,2.20062,64.2499
60,0,68,-0.0129956,2.19524,65.0153
61,0,69,-0.0126596,2.18762,66.0967
62,0,70,-0.0123477,2.18045,67.1292
63,0,71,-0.0120971,2.1746,67.9871
64,0,72,-0.011885,2.16958,68.7523
65,0,73,-0.0118436,2.16859,69.2335
66,0,74,-0.0117366,2.16598,69.7847
67,0,75,-0.0114967,2.16006,70.701
68,0,76,-0.0110839,2.14974,72.5866
69,0,77,-0.010731,2.1408,74.1577
