id,low,hi,m,q,cost
0,0,8,0.0584042,23.1065,3.30193
1,0,9,0.0434516,23.1463,3.63608
2,0,10,0.0461215,23.1383,3.82136
3,0,11,0.0378653,23.1658,4.10383
4,0,12,0.0349411,23.1766,4.29198
5,0,13,0.0301736,23.1956,4.53139
6,0,14,0.0142531,23.2646,5.8815
7,0,15,0.000556029,23.3285,7.26509
8,0,16,-0.037987,23.5213,19.984
9,0,17,-0.033677,23.4983,20.767
10,0,18,-0.0314455,23.4856,21.4061
11,0,19,-0.0278283,23.4639,22.1957
12,0,20,-0.0247764,23.4446,22.952
13,0,21,-0.0189922,23.406,24.4185
14,0,22,-0.0133611,23.3666,26.0446
15,0,23,-0.00876347,23.3329,27.4781
16,0,24,-0.00534449,23.3067,28.6272
17,0,25,-0.00198004,23.2798,29.8694
18,0,26,0.00205627,23.2461,31.594
19,0,27,0.00544428,23.2168,33.1355
20,0,28,0.00688416,23.2038,33.926
21,0,29,0.00698339,23.2029,34.5071
22,0,30,0.00604303,23.212,35.1955
23,0,31,0.00508549,23.2215,35.9002
24,0,32,0.00366745,23.2362,36.8139
25,0,33,0.00200053,23.254,37.9331
26,0,34,0.0010601,23.2643,38.6924
27,0,35,0.000219925,23.2738,39.4277
28,0,36,-0.000646641,23.284,40.1963
29,0,37,-0.00125191,23.2912,40.8598
30,0,38,-0.00549729,23.3436,48.2515
31,0,39,-0.010709,23.4096,60.4643
32,0,40,-0.0159631,23.4779,74.4052
33,0,41,-0.0214962,23.5517,91.6309
34,0,42,-0.0270418,23.6275,110.966
35,0,43,-0.0323696,23.7021,130.952
36,0,44,-0.0380763,23.7838,156.198
37,0,45,-0.0430289,23.8565,177.706
38,0,46,-0.047588,23.9249,198.112
39,0,47,-0.0517905,23.9893,217.491
40,0,48,-0.055468,24.0469,234.28
41,0,49,-0.0591257,24.1054,252.419
42,0,50,-0.0630274,24.1692,274.552
43,0,51,-0.0699213,24.2841,344.135
44,0,52,-0.0830949,24.508,613.8
45,0,53,-0.0978468,24.7637,983.163
46,0,54,-0.110805,24.9927,1297.16
47,0,55,-0.122838,25.2092,1594.2
48,0,56,-0.133917,25.4124,1870.5
49,0,57,-0.143763,25.5962,2110.86
50,0,58,-0.152723,25.7664,2329.43
51,0,59,-0.161552,25.9371,2559.15
52,0,60,-0.169971,26.1027,2786.27
53,0,61,-0.177325,26.2498,2978.15
54,0,62,-0.18441,26.3938,3170.83
55,0,63,-0.191623,26.5429,3383.77
56,0,64,-0.197864,26.6739,3560.95
57,0,65,-0.203818,26.801,3735.42
58,0,66,-0.209256,26.9188,3895.05
59,0,67,-0.214433,27.0327,4051.35
60,0,68,-0.219815,27.1529,4228.13
61,0,69,-0.231994,27.4289,5062.5
62,0,70,-0.246236,27.7565,6270.76
63,0,71,-0.258207,28.0358,7197.13
64,0,72,-0.264343,28.181,7493.72
65,0,73,-0.268834,28.2888,7685.44
66,0,74,-0.274406,28.4244,7967.16
67,0,75,-0.278909,28.5355,8179.59
68,0,76,-0.278705,28.5304,8233.58
69,0,77,-0.275926,28.46,8355.17
70,0,78,-0.274048,28.4118,8441.61
71,0,79,-0.272388,28.3686,8522.2
72,0,80,-0.272303,28.3664,8575.37
73,0,81,-0.271146,28.3355,8642.98
74,0,82,-0.269593,28.2936,8723.8
75,0,83,-0.268508,28.2639,8790.75
76,0,84,-0.26754,28.2371,8855.17
77,0,85,-0.265275,28.1737,8977.66
78,0,86,-0.263598,28.1262,9070.52
79,0,87,-0.262917,28.1067,9129.58
80,0,88,-0.263363,28.1196,9184.5
81,0,89,-0.262624,28.098,9245.18
82,0,90,-0.261901,28.0765,9305.68
83,0,91,-0.26032,28.0291,9403.37
84,0,92,-0.258912,27.9864,9493.22
85,0,93,-0.258006,27.9586,9561.01
86,0,94,-0.257067,27.9295,9630.76
87,0,95,-0.256314,27.9059,9694.15
88,0,96,-0.255382,27.8764,9765.08
89,0,97,-0.254267,27.8407,9846.19
90,0,98,-0.254688,27.8543,9900.91
91,0,99,-0.254297,27.8415,9954.97
