id,low,hi,m,q,costQRMSEn
0,0,8,0.0584042,23.1065,3.30193
1281,8,15,-0.0904105,24.393,1.02744
2856,16,24,0.181585,19.4506,4.8196
3530,24,28,0.0549273,22.2056,0.252853
4988,29,37,-0.0332362,24.2613,0.140225
6365,38,46,-0.249071,31.4432,0.312291
7095,46,51,-0.258506,31.9824,5.15147
8346,52,60,-0.334169,31.0645,2.88429
9390,60,68,-0.341048,31.5586,0.830544
10488,69,77,1.068,-74.2516,80.1884
11505,78,86,-0.105733,16.4023,11.8689
12443,87,97,-0.0838304,13.0755,12.6271
13475,98,106,0.15118,-11.3181,25.0304
14231,107,115,-0.0895617,16.9891,3.93157
14616,115,120,-0.242068,34.1766,0.614782
15246,121,129,-0.406455,54.6777,1.12262
15795,130,138,0.558002,-71.356,20.7964
16166,138,145,-0.118756,21.4445,2.79742
16572,146,155,0.469351,-68.135,29.0155
16926,156,164,0.0404437,-6.62187,21.9532
17138,164,172,-0.174443,29.4175,2.11873
17286,172,180,0.331431,-57.3065,1.91295
17336,180,184,0.109893,-18.0159,11.1192
17390,185,193,-0.179919,39.2323,65.3518
