id,low,hi,m,q,costBIC
0,0,6,-228.375,10048.4,101.106
949,7,17,298.468,4657.84,152.547
2336,18,29,19.4301,7961.81,167.067
3707,30,38,260.117,-1085.97,112.987
4641,39,45,431.161,-10485.6,90.5351
5320,46,59,-182.562,17681.4,208.712
6510,60,66,771.393,-41100.1,90.1321
7035,67,73,24.6071,3873.29,90.3856
7512,74,81,-141.762,17892.3,102.764
7995,82,88,646.875,-47804.1,100.003
8368,89,97,-315.808,35135.8,109.196
8774,98,107,-139.182,19885.3,144.093
9127,108,115,250.101,-21213.8,108.641
9341,116,125,466.158,-48218.6,135.893
9513,126,132,34.9107,3014.09,87.7071
9580,133,143,152.859,-12034.3,163.756
