id,low,hi,m,q,cost
0,0,9,13.5455,4934.55,89.6838
1,0,10,14.2273,4932.5,97.3678
2,0,11,9.45804,4948.4,107.282
3,0,12,7.25275,4956.48,115.606
4,0,13,8.08791,4953.14,123.354
5,0,14,8.05357,4953.29,130.891
6,0,15,8.29412,4952.17,138.376
7,0,16,6.04167,4963.43,148.298
8,0,17,6.81115,4959.33,156.138
9,0,18,7.01754,4958.16,163.606
10,0,19,7.42481,4955.71,171.156
11,0,20,7.82468,4953.18,178.698
12,0,21,7.9729,4952.19,186.024
13,0,22,7.72727,4953.91,193.39
14,0,23,7.46087,4955.87,200.772
15,0,24,7.50769,4955.51,207.94
16,0,25,7.60855,4954.7,215.098
17,0,26,7.46947,4955.86,222.267
18,0,27,7.22906,4957.94,229.63
19,0,28,6.88177,4961.07,237.429
20,0,29,6.58732,4963.82,245.088
21,0,30,6.42742,4965.36,252.304
22,0,31,6.48644,4964.77,259.305
23,0,32,6.55414,4964.07,266.292
24,0,33,6.57754,4963.82,273.202
25,0,34,5.7563,4972.86,289.535
26,0,35,5.03861,4980.99,303.294
27,0,36,4.367,4988.83,316.213
28,0,37,4.60827,4985.93,324.37
29,0,38,4.79656,4983.61,332.277
30,0,39,4.94043,4981.79,339.991
31,0,40,4.22822,4991.05,355.883
32,0,41,4.54582,4986.81,365.115
33,0,42,4.79085,4983.46,373.766
34,0,43,5.01973,4980.26,382.37
35,0,44,5.32082,4975.94,391.893
36,0,45,5.54178,4972.7,400.612
37,0,46,5.65449,4971.01,408.514
38,0,47,5.73925,4969.71,416.278
39,0,48,5.93469,4966.65,425.01
40,0,49,6.1407,4963.35,433.981
41,0,50,6.32081,4960.41,442.708
42,0,51,6.46717,4957.97,451.101
43,0,52,6.58402,4955.99,459.233
44,0,53,6.67505,4954.41,467.16
45,0,54,6.62662,4955.26,474.809
46,0,55,6.70232,4953.9,482.639
47,0,56,6.83076,4951.55,491.123
48,0,57,6.94315,4949.45,499.432
49,0,58,7.03273,4947.75,507.481
50,0,59,7.11851,4946.09,515.517
51,0,60,7.23242,4943.85,524.032
