x,N1883
0,4730
1,4760
2,4815
3,4995
4,4960
5,5065
6,5075
7,5085
8,5095
9,5140
10,5140
11,5140
12,5365
13,5085
14,5105
15,5200
16,5205
17,5160
18,5140
19,5150
20,5210
21,5205
22,5200
23,5095
24,5140
25,5165
26,5190
27,5050
28,5055
29,4985
30,4995
31,5010
32,5010
33,5020
34,5170
35,5155
36,5155
37,5150
38,5130
39,5170
40,5180
41,5175
42,5185
43,5200
44,5205
45,5210
46,5195
47,5195
48,5210
49,5205
50,5235
51,5235
52,5205
53,5195
54,5200
55,5165
56,5170
57,5255
58,5240
59,5265
60,5275
61,5285
62,5320
63,5335
64,5335
65,5325
66,5355
67,5375
68,5445
69,5415
70,5415
71,5450
72,5535
73,5570
74,5590
75,5575
76,5575
77,5595
78,5650
79,5680
80,5665
81,5675
82,5700
83,5700
84,5710
85,5745
86,5745
87,5765
88,5740
89,5725
90,5765
91,5900
92,5900
93,5900
94,5890
95,5935
96,5945
97,6000
98,6000
99,5995
100,6065
101,6065
102,6065
103,6075
104,6070
105,6085
106,6095
107,6095
108,6065
109,6115
110,6190
111,6200
112,6205
113,6210
114,6230
115,6235
116,6235
117,6235
118,6225
119,6225
120,6255
121,6310
122,6305
123,6320
124,6320
125,6330
126,6325
127,6335
128,6345
129,6325
130,6325
131,6350
132,6370
133,6390
134,6390
135,6475
136,6440
137,6445
138,6495
139,6495
140,6500
141,6505
142,6505
143,6505
